applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,approved,low_risk_terms
37,ForProfit2,0.3,White,25,M,Non-US,45000,658,0.275,undergrad,STEM,14000.0,-0.1213869172334647,-0.6613869172334648,0,0
38,ForProfit1,0.25,Other,19,F,US Person,37000,692,0.115,undergrad,STEM,7000.0,0.571920091325623,0.12192009132562304,1,0
39,UVA,0.035,Black,22,F,US Person,31000,769,0.165,undergrad,STEM,100000.0,1.024304353220471,0.9613043532204709,1,1
40,StateU,0.065,White,26,M,Non-US,37000,716,0.348,undergrad,Arts,56000.0,0.4327268683553356,0.3157268683553356,1,1
41,ForProfit2,0.3,White,21,F,Non-US,58000,697,0.201,undergrad,STEM,35000.0,0.7946417239451032,0.2546417239451032,1,1
42,ForProfit1,0.25,White,25,F,Non-US,59000,705,0.13,undergrad,Business,20000.0,0.6320295059203727,0.18202950592037265,1,1
43,StateU,0.065,White,21,F,Non-US,13000,774,0.195,graduate,Law,56000.0,1.606364381715396,1.489364381715396,1,1
44,StateU,0.065,White,22,F,Non-US,22000,745,0.31,undergrad,STEM,33000.0,0.9860224964994684,0.8690224964994684,1,1
45,ForProfit1,0.25,Asian,30,M,Non-US,64000,678,0.08,undergrad,Law,15000.0,0.7989202600602018,0.34892026006020177,1,1
46,StateU,0.065,White,19,F,US Person,18000,800,0.094,graduate,Arts,24000.0,1.4683961984330942,1.3513961984330942,1,1
47,StateU,0.065,Other,21,F,US Person,34000,735,0.162,graduate,Arts,47000.0,0.6257611511749448,0.5087611511749448,1,1
48,UVA,0.035,Black,29,F,Non-US,31000,682,0.368,graduate,Business,25000.0,-0.4961253503724755,-0.5591253503724756,0,0
49,ForProfit1,0.25,White,23,M,US Person,59000,761,0.135,undergrad,Arts,19000.0,1.0701805323911293,0.6201805323911294,1,1
50,CommunityCollege,0.12,White,24,M,US Person,48000,676,0.071,graduate,STEM,129000.0,0.9742203058913589,0.7582203058913589,1,1
51,CommunityCollege,0.12,Other,21,M,Non-US,64000,760,0.09,undergrad,Business,19000.0,1.3509069817392583,1.1349069817392583,1,1
52,ForProfit2,0.3,White,25,F,Non-US,22000,682,0.179,undergrad,Law,42000.0,0.1359243607364028,-0.40407563926359724,0,0
53,CommunityCollege,0.12,Black,19,M,Non-US,78000,544,0.333,undergrad,STEM,16000.0,-1.198755354115871,-1.414755354115871,0,0
54,CommunityCollege,0.12,White,21,M,US Person,32000,572,0.259,graduate,STEM,31000.0,-0.9257044543961646,-1.1417044543961645,0,0
55,UVA,0.035,Black,19,M,Non-US,41000,800,0.214,undergrad,Law,45000.0,1.401198011667628,1.338198011667628,1,1
56,ForProfit2,0.3,White,22,M,Non-US,22000,755,0.086,undergrad,Law,9000.0,1.1983210200983074,0.6583210200983074,1,1
57,StateU,0.065,Black,34,F,Non-US,37000,711,0.216,graduate,STEM,25000.0,0.594766422974253,0.477766422974253,1,1
58,ForProfit2,0.3,White,25,M,Non-US,66000,669,0.283,graduate,Arts,16000.0,0.23533830476023276,-0.30466169523976727,0,0
59,StateU,0.065,Black,27,F,US Person,41000,741,0.105,undergrad,Arts,37000.0,0.620035279204636,0.503035279204636,1,1
60,CommunityCollege,0.12,White,19,F,Non-US,19000,682,0.18,undergrad,STEM,28000.0,0.3759333214041241,0.1599333214041241,1,1
61,CommunityCollege,0.12,White,19,M,Non-US,41000,576,0.102,undergrad,Law,21000.0,-0.5575807809948328,-0.7735807809948327,0,0
62,StateU,0.065,White,20,M,Non-US,89000,613,0.212,graduate,Arts,47000.0,-0.2952899226789475,-0.4122899226789475,0,0
63,ForProfit1,0.25,Black,27,F,Non-US,47000,792,0.305,graduate,STEM,27000.0,0.9968024009515408,0.5468024009515409,1,1
64,ForProfit1,0.25,Black,19,M,Non-US,44000,694,0.057,graduate,Arts,35000.0,0.5165145410283934,0.06651454102839344,1,0
65,ForProfit1,0.25,Other,26,F,US Person,47000,610,0.348,undergrad,Law,10000.0,-0.42629418432476285,-0.8762941843247629,0,0
66,CommunityCollege,0.12,White,22,F,US Person,35000,767,0.15,undergrad,Arts,43000.0,0.891340413894606,0.6753404138946061,1,1
67,CommunityCollege,0.12,White,25,F,US Person,39000,705,0.176,undergrad,Business,29000.0,0.7308354040839903,0.5148354040839903,1,1
68,StateU,0.065,White,19,M,Non-US,27000,626,0.274,undergrad,STEM,114000.0,-0.6490547279081444,-0.7660547279081444,0,0
69,ForProfit1,0.25,White,21,F,Non-US,71000,693,0.345,graduate,Business,60000.0,0.550693717533082,0.10069371753308204,1,0
70,ForProfit1,0.25,Other,26,M,Non-US,46000,622,0.237,graduate,STEM,63000.0,-0.1739324707820489,-0.6239324707820489,0,0
71,CommunityCollege,0.12,White,22,F,US Person,31000,690,0.144,undergrad,Law,16000.0,0.6160376587694866,0.4000376587694866,1,1
72,CommunityCollege,0.12,White,20,M,Non-US,39000,757,0.271,undergrad,STEM,38000.0,0.681581241640872,0.465581241640872,1,1
73,StateU,0.065,Other,19,F,Non-US,98000,778,0.355,undergrad,Law,11000.0,1.2568066726183156,1.1398066726183156,1,1
74,UVA,0.035,White,19,F,Non-US,47000,673,0.11,undergrad,STEM,25000.0,0.5753463236149909,0.5123463236149909,1,1
75,StateU,0.065,Other,21,F,US Person,42000,641,0.278,undergrad,Arts,55000.0,-0.35683645788588003,-0.47383645788588,0,0
76,CommunityCollege,0.12,White,24,M,Non-US,105000,562,0.183,undergrad,Business,33000.0,-0.33046755821676443,-0.5464675582167644,0,0
77,ForProfit1,0.25,Black,26,M,Non-US,46000,786,0.365,undergrad,STEM,60000.0,1.2003543945134967,0.7503543945134967,1,1
78,CommunityCollege,0.12,Black,26,F,Non-US,43000,748,0.098,undergrad,Arts,18000.0,0.9040445794293757,0.6880445794293757,1,1
79,ForProfit1,0.25,White,24,F,Non-US,64000,698,0.189,graduate,STEM,33000.0,0.7443201863315194,0.2943201863315194,1,1
80,CommunityCollege,0.12,White,25,M,Non-US,35000,668,0.066,undergrad,Arts,23000.0,-0.08281035192143518,-0.2988103519214352,0,0
81,CommunityCollege,0.12,White,29,M,US Person,17000,765,0.383,undergrad,Law,25000.0,0.8609615479097535,0.6449615479097536,1,1
82,StateU,0.065,Asian,26,M,Non-US,44000,715,0.313,undergrad,STEM,24000.0,0.6864639074367773,0.5694639074367773,1,1
83,CommunityCollege,0.12,White,29,M,US Person,69000,691,0.199,undergrad,Arts,59000.0,0.33639394785528837,0.12039394785528837,1,0
84,CommunityCollege,0.12,White,27,F,Non-US,20000,763,0.133,undergrad,STEM,11000.0,1.1389840151414947,0.9229840151414948,1,1
85,StateU,0.065,White,19,M,Non-US,79000,582,0.122,graduate,STEM,17000.0,-0.41369134480182823,-0.5306913448018282,0,0
86,StateU,0.065,Other,30,M,Non-US,65000,694,0.134,undergrad,STEM,66000.0,0.9148327435146701,0.7978327435146702,1,1
87,UVA,0.035,Other,30,F,Non-US,44000,791,0.307,undergrad,Arts,50000.0,1.1992673065532482,1.1362673065532483,1,1
88,ForProfit1,0.25,White,25,M,Non-US,56000,697,0.294,undergrad,Law,84000.0,0.49404141701573984,0.044041417015739825,1,0
89,CommunityCollege,0.12,Black,19,F,Non-US,36000,695,0.144,undergrad,Arts,25000.0,0.019160529519886005,-0.196839470480114,0,0
90,ForProfit2,0.3,White,19,F,Non-US,58000,674,0.372,undergrad,STEM,38000.0,0.14961518957498215,-0.3903848104250179,0,0
91,CommunityCollege,0.12,White,33,F,Non-US,47000,731,0.241,undergrad,STEM,59000.0,1.0545160495176695,0.8385160495176696,1,1
92,CommunityCollege,0.12,White,29,F,Non-US,42000,681,0.041,undergrad,STEM,79000.0,0.5365884807045356,0.3205884807045356,1,1
93,StateU,0.065,Black,24,F,Non-US,66000,606,0.305,undergrad,Business,18000.0,-1.1514789345863394,-1.2684789345863394,0,0
94,ForProfit2,0.3,White,19,M,Non-US,57000,677,0.1,undergrad,STEM,30000.0,0.7931206911393671,0.2531206911393671,1,1
95,StateU,0.065,White,20,F,US Person,36000,662,0.096,undergrad,Business,35000.0,0.2890054453351732,0.1720054453351732,1,1
96,CommunityCollege,0.12,White,29,F,Non-US,60000,670,0.177,undergrad,STEM,19000.0,0.23869545702670003,0.022695457026700033,1,0
97,ForProfit1,0.25,Asian,19,M,Non-US,35000,722,0.482,graduate,Business,37000.0,0.31899942886478594,-0.13100057113521407,1,0
98,ForProfit2,0.3,White,19,F,Non-US,45000,650,0.321,graduate,STEM,18000.0,0.018986563502766576,-0.5210134364972334,0,0
99,CommunityCollege,0.12,Asian,23,F,US Person,32000,610,0.189,graduate,Law,28000.0,0.29093056969102293,0.07493056969102294,1,0
100,CommunityCollege,0.12,Black,34,F,Non-US,49000,643,0.232,undergrad,Business,80000.0,-0.39662016284509555,-0.6126201628450956,0,0
101,ForProfit1,0.25,White,30,F,Non-US,26000,685,0.242,undergrad,Law,20000.0,0.7141613396313284,0.26416133963132843,1,1
102,UVA,0.035,White,24,F,Non-US,23000,697,0.065,undergrad,Arts,31000.0,0.48984349452037046,0.42684349452037046,1,1
103,CommunityCollege,0.12,White,19,F,US Person,36000,695,0.298,undergrad,STEM,36000.0,0.33287509351461275,0.11687509351461275,1,0
104,ForProfit2,0.3,White,30,M,Non-US,56000,664,0.339,graduate,Business,21000.0,0.2613571139726686,-0.27864288602733145,0,0
105,CommunityCollege,0.12,White,29,F,Non-US,29000,737,0.044,undergrad,Arts,45000.0,0.880051917982294,0.664051917982294,1,1
106,StateU,0.065,White,28,M,Non-US,54000,800,0.241,undergrad,Arts,22000.0,0.9881276569871564,0.8711276569871564,1,1
107,ForProfit1,0.25,Other,25,M,Non-US,103000,670,0.145,undergrad,Arts,78000.0,0.5972151997741167,0.14721519977411673,1,1
108,CommunityCollege,0.12,White,26,F,Non-US,163000,657,0.197,undergrad,STEM,19000.0,1.1297171752381565,0.9137171752381565,1,1
109,CommunityCollege,0.12,White,23,F,Non-US,43000,638,0.3,graduate,Law,44000.0,-0.2937849350810882,-0.5097849350810882,0,0
110,StateU,0.065,White,22,M,Non-US,51000,733,0.241,undergrad,Business,65000.0,0.2931590077360131,0.17615900773601312,1,1
111,CommunityCollege,0.12,White,19,F,US Person,50000,673,0.251,undergrad,Arts,8000.0,-0.15599810973109687,-0.37199810973109687,0,0
112,StateU,0.065,Black,26,M,US Person,70000,662,0.131,undergrad,Arts,36000.0,-0.22700462903503735,-0.34400462903503737,0,0
113,ForProfit2,0.3,White,19,M,Non-US,47000,672,0.11,undergrad,STEM,34000.0,0.1836641973345143,-0.3563358026654857,0,0
114,StateU,0.065,Black,22,F,Non-US,40000,553,0.379,undergrad,STEM,11000.0,-1.6526501230365795,-1.7696501230365795,0,0
115,CommunityCollege,0.12,Other,24,F,Non-US,47000,596,0.243,undergrad,STEM,68000.0,-0.5203358527424375,-0.7363358527424375,0,0
116,CommunityCollege,0.12,White,22,F,Non-US,54000,601,0.14,graduate,Business,29000.0,-0.31904156922262483,-0.5350415692226248,0,0
117,UVA,0.035,White,21,M,Non-US,68000,725,0.284,undergrad,STEM,11000.0,0.5443247970087681,0.4813247970087681,1,1
118,StateU,0.065,Black,23,F,Non-US,37000,644,0.421,graduate,STEM,19000.0,-0.4098255019410725,-0.5268255019410725,0,0
119,StateU,0.065,White,21,M,Non-US,38000,565,0.17,undergrad,STEM,43000.0,-0.5956339558927712,-0.7126339558927712,0,0
120,ForProfit1,0.25,White,30,M,Non-US,79000,635,0.233,undergrad,Law,42000.0,0.14012640054373673,-0.30987359945626325,0,0
121,StateU,0.065,Other,24,F,US Person,23000,629,0.04,graduate,STEM,59000.0,0.4873277533458182,0.3703277533458182,1,1
122,CommunityCollege,0.12,White,24,F,Non-US,51000,631,0.349,undergrad,Business,24000.0,-0.3766060210491928,-0.5926060210491928,0,0
123,CommunityCollege,0.12,White,25,M,Non-US,37000,754,0.196,undergrad,Business,20000.0,1.2758893409096503,1.0598893409096504,1,1
124,CommunityCollege,0.12,White,35,F,Non-US,61000,646,0.262,undergrad,Arts,21000.0,-0.3193765658931335,-0.5353765658931335,0,0
125,UVA,0.035,Asian,29,M,Non-US,33000,637,0.105,undergrad,STEM,15000.0,0.2003544168129266,0.1373544168129266,1,0
126,StateU,0.065,White,22,F,Non-US,29000,662,0.034,graduate,Business,17000.0,0.7845554344725303,0.6675554344725303,1,1
127,StateU,0.065,Black,23,M,Non-US,83000,723,0.358,undergrad,Arts,21000.0,-0.011508773829305735,-0.12850877382930576,1,0
128,CommunityCollege,0.12,Asian,28,F,Non-US,8000,708,0.082,undergrad,Arts,41000.0,0.30730010183795764,0.09130010183795764,1,0
129,CommunityCollege,0.12,Other,22,F,Non-US,33000,714,0.289,undergrad,Arts,19000.0,0.24836331448198573,0.03236331448198573,1,0
130,CommunityCollege,0.12,White,19,F,Non-US,71000,670,0.055,undergrad,Business,71000.0,0.5213566950415532,0.30535669504155327,1,1
131,ForProfit1,0.25,White,29,F,Non-US,35000,575,0.081,undergrad,STEM,56000.0,-0.49135674267213014,-0.9413567426721301,0,0
132,ForProfit1,0.25,Black,19,M,Non-US,47000,739,0.237,undergrad,Arts,18000.0,0.6005207658609366,0.1505207658609366,1,1
133,ForProfit1,0.25,White,19,F,Non-US,37000,664,0.262,undergrad,Law,15000.0,-0.04512382893362882,-0.49512382893362883,0,0
134,ForProfit1,0.25,Asian,23,M,Non-US,61000,639,0.189,undergrad,STEM,28000.0,0.2176093799529209,-0.2323906200470791,0,0
135,CommunityCollege,0.12,White,28,F,Non-US,12000,687,0.169,graduate,Business,56000.0,0.5921004506184109,0.3761004506184109,1,1
136,ForProfit1,0.25,Other,25,M,Non-US,72000,670,0.097,undergrad,Arts,83000.0,0.44488792395207366,-0.0051120760479263505,1,0
137,CommunityCollege,0.12,Other,19,F,Non-US,22000,631,0.173,undergrad,Business,21000.0,-0.2600117518906014,-0.4760117518906014,0,0
138,UVA,0.035,White,23,F,US Person,62000,727,0.064,undergrad,Arts,74000.0,0.792942610742991,0.7299426107429909,1,1
139,ForProfit1,0.25,White,27,F,Non-US,21000,631,0.23,undergrad,Business,49000.0,-0.3413096943766578,-0.7913096943766578,0,0
140,ForProfit1,0.25,Black,20,F,US Person,17000,716,0.237,undergrad,Business,29000.0,0.03148032519541799,-0.418519674804582,0,0
141,StateU,0.065,White,23,F,Non-US,29000,624,0.253,graduate,Business,31000.0,-0.303354786737545,-0.420354786737545,0,0
142,ForProfit1,0.25,White,19,M,Non-US,30000,634,0.514,undergrad,STEM,29000.0,-1.0125275497359512,-1.4625275497359511,0,0
143,ForProfit1,0.25,Black,20,M,Non-US,26000,704,0.256,graduate,Arts,50000.0,-0.055416794142810755,-0.5054167941428107,0,0
144,ForProfit1,0.25,White,19,F,Non-US,46000,722,0.042,undergrad,Business,15000.0,0.9636187724443137,0.5136187724443138,1,1
145,StateU,0.065,White,32,M,Non-US,39000,800,0.273,undergrad,Law,23000.0,1.6274155906627026,1.5104155906627026,1,1
146,ForProfit1,0.25,White,30,F,Non-US,25000,771,0.028,undergrad,Law,21000.0,1.6751129693486286,1.2251129693486287,1,1
147,CommunityCollege,0.12,White,19,F,Non-US,55000,675,0.396,undergrad,Business,89000.0,0.2226303881233226,0.006630388123322589,1,0
148,CommunityCollege,0.12,White,22,F,Non-US,78000,682,0.312,undergrad,Arts,17000.0,0.38074045759901876,0.16474045759901876,1,1
149,ForProfit1,0.25,White,23,M,Non-US,35000,641,0.143,graduate,Law,17000.0,0.30546317971473463,-0.14453682028526538,0,0
150,CommunityCollege,0.12,White,23,M,Non-US,28000,594,0.335,undergrad,Arts,31000.0,-1.548668920938828,-1.764668920938828,0,0
151,StateU,0.065,White,20,M,Non-US,43000,633,0.232,graduate,STEM,22000.0,-0.20931744000915115,-0.32631744000915114,0,0
152,UVA,0.035,White,20,F,US Person,40000,643,0.312,undergrad,STEM,18000.0,-0.4244251646288014,-0.4874251646288014,0,0
153,ForProfit1,0.25,White,34,F,Non-US,29000,647,0.329,undergrad,Arts,20000.0,-0.6071037981150791,-1.057103798115079,0,0
154,UVA,0.035,Other,31,M,Non-US,40000,657,0.061,undergrad,Business,8000.0,0.0512726707868925,-0.011727329213107512,1,0
155,ForProfit1,0.25,Other,28,F,Non-US,43000,757,0.164,undergrad,Arts,14000.0,0.6155716718481749,0.16557167184817484,1,1
156,CommunityCollege,0.12,White,26,M,Non-US,42000,622,0.25,graduate,Law,49000.0,0.024187206137999066,-0.19181279386200092,0,0
157,ForProfit2,0.3,Other,29,F,Non-US,46000,566,0.373,graduate,Law,43000.0,-1.0782300418782553,-1.6182300418782554,0,0
158,ForProfit2,0.3,White,20,M,Non-US,39000,680,0.198,undergrad,STEM,17000.0,0.4263198056387853,-0.11368019436121474,1,0
159,UVA,0.035,White,26,M,Non-US,33000,682,0.063,graduate,Law,18000.0,0.7165472842531992,0.6535472842531992,1,1
160,CommunityCollege,0.12,White,19,F,Non-US,29000,622,0.149,undergrad,Arts,11000.0,-0.3140663895192318,-0.5300663895192318,0,0
161,StateU,0.065,White,24,M,Non-US,42000,734,0.195,undergrad,Law,7000.0,0.8769191955738492,0.7599191955738492,1,1
162,CommunityCollege,0.12,White,19,M,Non-US,48000,639,0.12,graduate,STEM,22000.0,0.3765786985860111,0.16057869858601112,1,1
163,ForProfit1,0.25,White,35,M,US Person,132000,645,0.193,undergrad,Arts,53000.0,0.7297292196415763,0.2797292196415763,1,1
164,ForProfit2,0.3,Black,22,F,Non-US,21000,662,0.318,undergrad,STEM,61000.0,-0.5646627273712743,-1.1046627273712744,0,0
165,ForProfit1,0.25,Other,30,M,Non-US,19000,735,0.158,undergrad,Business,16000.0,0.7541748197654717,0.3041748197654717,1,1
166,StateU,0.065,White,19,F,Non-US,38000,683,0.041,undergrad,Arts,27000.0,0.5087930755333526,0.39179307553335263,1,1
167,CommunityCollege,0.12,Black,23,M,Non-US,29000,748,0.324,undergrad,Law,35000.0,0.696262784970324,0.48026278497032404,1,1
168,ForProfit1,0.25,White,19,M,Non-US,65000,602,0.474,undergrad,Arts,29000.0,-1.081494080133158,-1.531494080133158,0,0
169,ForProfit1,0.25,Black,20,M,Non-US,52000,617,0.12,undergrad,STEM,20000.0,-0.11840074960006605,-0.568400749600066,0,0
170,StateU,0.065,White,22,F,Non-US,49000,696,0.044,undergrad,Law,52000.0,0.8995524229882895,0.7825524229882895,1,1
171,CommunityCollege,0.12,White,19,F,Non-US,51000,581,0.166,undergrad,Business,26000.0,-0.22607923572365116,-0.44207923572365115,0,0
172,CommunityCollege,0.12,White,24,F,Non-US,25000,579,0.247,undergrad,STEM,35000.0,-1.099814605592472,-1.315814605592472,0,0
173,ForProfit1,0.25,White,19,F,US Person,32000,583,0.399,graduate,STEM,34000.0,-1.156608831877882,-1.606608831877882,0,0
174,ForProfit1,0.25,White,28,M,Non-US,32000,670,0.188,undergrad,STEM,43000.0,0.07719108438665415,-0.37280891561334584,0,0
175,CommunityCollege,0.12,White,26,F,Non-US,49000,661,0.127,undergrad,Arts,38000.0,0.11205764293170399,-0.103942357068296,1,0
176,StateU,0.065,White,19,F,Non-US,31000,780,0.123,undergrad,Business,67000.0,1.3946180315171752,1.2776180315171752,1,1
177,UVA,0.035,White,26,F,Non-US,32000,666,0.253,undergrad,Business,25000.0,-0.2555743333778371,-0.3185743333778371,0,0
178,StateU,0.065,Black,19,F,US Person,66000,740,0.439,undergrad,Business,16000.0,0.4254600088993268,0.3084600088993268,1,1
179,CommunityCollege,0.12,White,22,M,US Person,59000,696,0.331,undergrad,STEM,27000.0,0.19955795988815497,-0.016442040111845024,1,0
180,ForProfit2,0.3,White,27,M,US Person,45000,658,0.221,undergrad,STEM,43000.0,-0.17829761411381534,-0.7182976141138153,0,0
181,StateU,0.065,White,27,F,Non-US,52000,680,0.191,graduate,Arts,61000.0,0.4954506562215963,0.3784506562215963,1,1
182,ForProfit1,0.25,Black,19,M,Non-US,59000,573,0.146,undergrad,Arts,35000.0,-0.9380237792531667,-1.3880237792531667,0,0
183,UVA,0.035,White,29,M,Non-US,42000,641,0.156,undergrad,Arts,40000.0,-0.21710943322668214,-0.28010943322668214,0,0
184,CommunityCollege,0.12,White,32,M,Non-US,52000,696,0.396,undergrad,Arts,17000.0,-0.36562746074815256,-0.5816274607481525,0,0
185,CommunityCollege,0.12,White,29,F,Non-US,67000,754,0.089,undergrad,Business,24000.0,1.515916562618981,1.299916562618981,1,1
186,StateU,0.065,Other,26,M,Non-US,16000,735,0.197,graduate,STEM,52000.0,0.7082853880431883,0.5912853880431883,1,1
187,ForProfit1,0.25,White,24,M,Non-US,67000,678,0.144,undergrad,Arts,15000.0,0.05954838946469376,-0.39045161053530625,0,0
188,CommunityCollege,0.12,White,24,M,Non-US,33000,664,0.04,graduate,STEM,46000.0,0.9208925177162999,0.7048925177162999,1,1
189,ForProfit1,0.25,White,27,F,Non-US,32000,739,0.203,undergrad,Law,33000.0,1.114199376833063,0.664199376833063,1,1
190,CommunityCollege,0.12,White,24,F,Non-US,57000,652,0.242,graduate,Business,23000.0,0.38172003801196985,0.16572003801196986,1,1
191,ForProfit1,0.25,Other,22,M,Non-US,70000,774,0.116,graduate,Arts,37000.0,1.4902615959862766,1.0402615959862767,1,1
192,StateU,0.065,White,24,F,Non-US,61000,654,0.24,undergrad,Arts,36000.0,-0.03966819501147438,-0.1566681950114744,0,0
193,StateU,0.065,Black,27,F,US Person,49000,777,0.324,undergrad,Arts,29000.0,0.5120939052709529,0.3950939052709529,1,1
194,ForProfit2,0.3,Black,19,F,Non-US,17000,614,0.271,undergrad,Law,9000.0,-0.5667676341895209,-1.106767634189521,0,0
195,StateU,0.065,White,19,F,Non-US,22000,633,0.2,undergrad,Business,31000.0,-0.6219951580574165,-0.7389951580574164,0,0
196,StateU,0.065,Black,27,F,Non-US,23000,713,0.262,undergrad,Arts,32000.0,-0.0507071997476265,-0.1677071997476265,0,0
197,ForProfit2,0.3,White,32,M,Non-US,72000,698,0.122,undergrad,Arts,11000.0,0.645443255428345,0.10544325542834498,1,0
198,CommunityCollege,0.12,Other,19,F,Non-US,27000,746,0.479,undergrad,Arts,24000.0,-0.034920512521164696,-0.2509205125211647,0,0
199,CommunityCollege,0.12,White,23,F,Non-US,33000,649,0.142,undergrad,Business,20000.0,0.15865393040808695,-0.057346069591913046,1,0
200,UVA,0.035,Other,26,M,Non-US,15000,655,0.184,undergrad,Arts,43000.0,-0.380657977581766,-0.443657977581766,0,0
201,ForProfit1,0.25,White,28,M,Non-US,36000,690,0.295,undergrad,STEM,37000.0,0.2603268871192562,-0.1896731128807438,0,0
