applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,score_base,score_with_cdr,approved
56,22,F,Black,6000,500,0.342,96,0.0598803195385864,undergrad,Arts,12000.0,-1.2934545454545456,-2.012018379917582,0
57,22,F,White,7000,733,0.076,142,0.3267463977010624,undergrad,Arts,19000.0,0.09181818181818183,-3.829138590594567,0
58,23,F,White,3000,640,0.071,20,0.0,undergrad,Arts,20000.0,-0.26036363636363635,-0.26036363636363635,1
59,24,M,Black,17000,512,0.285,62,0.0725423339255437,graduate,Arts,15000.0,-0.9198181818181818,-1.790326188924706,0
60,19,F,White,7000,753,0.376,58,0.0620081260025002,undergrad,Business,40000.0,-0.23545454545454544,-0.9795520574845479,1
61,25,F,White,35000,850,0.268,34,0.0406085217379756,undergrad,STEM,8000.0,0.6012727272727272,0.11397046641702002,1
62,24,F,White,16000,420,0.244,124,0.3590904470954283,undergrad,Business,47000.0,-1.2283636363636363,-5.537449001508776,0
63,23,M,Black,3500,653,0.111,25,0.0454556038190779,undergrad,STEM,40000.0,0.009909090909090895,-0.5355581549198439,1
64,36,F,Asian,41000,781,0.222,3,0.056430275339365,undergrad,STEM,29000.0,0.4783636363636364,-0.19879966770874363,1
65,19,M,White,5000,838,0.086,125,0.076007198487916,undergrad,Business,25000.0,0.6416363636363637,-0.27045001821862835,1
66,19,F,White,33000,691,0.045,62,0.0725423339255437,graduate,Law,45000.0,0.6070909090909091,-0.2634170980156152,1
67,33,M,White,18000,607,0.257,76,0.0206891202622854,undergrad,Arts,16000.0,-0.6623636363636364,-0.9106330795110612,1
68,25,M,Asian,21000,523,0.13,135,0.0452137813055003,undergrad,Arts,55000.0,-0.7958181818181818,-1.3383835574841854,0
69,19,M,White,4500,755,0.04,38,0.0889068621286131,undergrad,Business,24000.0,0.4288181818181819,-0.6380641637251753,1
70,24,M,Black,21000,535,0.313,97,0.1699801216915541,undergrad,STEM,21000.0,-0.718181818181818,-2.757943278480467,0
71,19,M,White,6000,664,0.268,125,0.076007198487916,undergrad,Business,18000.0,-0.3490909090909091,-1.2611772909459011,0
72,19,M,Other,3500,795,0.097,76,0.0206891202622854,undergrad,STEM,19000.0,0.5542727272727273,0.3060032841253024,1
73,27,F,White,17000,640,0.169,186,0.0625345913873529,graduate,Arts,11000.0,-0.22236363636363637,-0.9727787330118711,1
74,29,M,White,41000,622,0.286,124,0.3590904470954283,graduate,Arts,88000.0,-0.4778181818181817,-4.786903546963321,0
75,19,M,Other,36000,745,0.092,135,0.0452137813055003,graduate,Law,30000.0,0.8274545454545454,0.28488916978854184,1
76,27,M,White,18000,712,0.099,25,0.0454556038190779,undergrad,STEM,23000.0,0.33545454545454545,-0.21001270037438935,1
77,28,M,White,20000,688,0.101,25,0.0454556038190779,graduate,STEM,113000.0,0.3061818181818182,-0.23928542764711658,1
78,26,M,Other,22000,650,0.123,112,0.1324079841540636,graduate,STEM,9000.0,0.23600000000000002,-1.3528958098487631,0
79,23,F,White,3500,515,0.274,38,0.0889068621286131,undergrad,STEM,51000.0,-0.9179090909090912,-1.9847914364524484,0
80,35,F,White,44000,417,0.102,25,0.0454556038190779,graduate,Business,41000.0,-0.6372727272727273,-1.1827399731016621,1
81,30,M,White,21000,824,0.261,135,0.0452137813055003,undergrad,Business,31000.0,0.33672727272727265,-0.20583810293873095,1
82,26,M,Other,37000,674,0.504,62,0.0725423339255437,undergrad,STEM,21000.0,-0.49872727272727274,-1.369235279833797,0
83,26,F,White,40000,508,0.169,76,0.0206891202622854,undergrad,Arts,25000.0,-0.7143636363636364,-0.9626330795110613,1
84,19,M,White,6500,623,0.18,98,0.1410823134892537,undergrad,Arts,10000.0,-0.5191818181818182,-2.212169580052863,0
85,19,F,Black,2500,718,0.543,25,0.0454556038190779,undergrad,Arts,11000.0,-0.9237272727272727,-1.4691945185562076,0
86,23,F,Black,32000,559,0.11,169,0.0821687824439703,graduate,Arts,9000.0,-0.3089090909090909,-1.2949344802367344,0
87,26,F,Other,18000,534,0.158,62,0.0725423339255437,undergrad,Business,35000.0,-0.5298181818181819,-1.4003261889247063,0
88,26,F,White,15000,616,0.187,229,0.0845744546441171,undergrad,Arts,29000.0,-0.5076363636363637,-1.5225298193657688,0
89,29,M,Asian,14000,478,0.185,135,0.0452137813055003,undergrad,Business,54000.0,-0.9114545454545456,-1.4540199211205493,0
90,32,M,Black,43000,536,0.106,135,0.0452137813055003,undergrad,Business,29000.0,-0.26854545454545453,-0.8111108302114581,1
91,29,F,White,32000,594,0.228,38,0.0889068621286131,undergrad,Arts,77000.0,-0.6676363636363637,-1.7345187091797207,0
92,23,M,White,25000,659,0.151,25,0.0454556038190779,graduate,STEM,33000.0,0.23072727272727273,-0.3147399731016621,1
93,21,M,White,32000,385,0.199,23,0.3748923690837981,graduate,STEM,45000.0,-0.9196363636363638,-5.418344792641941,0
94,19,F,White,4000,362,0.343,76,0.0206891202622854,undergrad,Business,29000.0,-1.6092727272727272,-1.857542170420152,0
95,24,M,Black,24000,570,0.168,135,0.0452137813055003,graduate,Arts,39000.0,-0.4329090909090908,-0.9754744665750944,1
96,22,M,Black,5500,540,0.211,14,0.0716640292402546,undergrad,Arts,34000.0,-0.889,-1.7489683508830551,0
97,25,M,Black,20000,557,0.363,59,0.3317741726742946,graduate,Business,176000.0,-0.7941818181818181,-4.775471890273353,0
98,26,M,White,37000,754,0.46,135,0.0452137813055003,graduate,Arts,60000.0,-0.36981818181818193,-0.9123835574841855,1
99,21,F,White,7000,602,0.036,248,0.0114381620879679,undergrad,STEM,54000.0,-0.10454545454545455,-0.24180339960106936,1
100,25,M,White,39000,850,0.311,73,0.0228348227025087,undergrad,Business,46000.0,0.3392727272727273,0.06525485484262283,1
101,26,F,White,15000,850,0.307,96,0.0598803195385864,graduate,Business,84000.0,0.3532727272727273,-0.36529110719030944,1
102,28,F,White,25000,850,0.245,62,0.0725423339255437,graduate,STEM,39000.0,0.7372727272727273,-0.13323527983379702,1
103,30,F,White,56000,850,0.187,135,0.0452137813055003,undergrad,Arts,21000.0,0.5892727272727273,0.04670735160672368,1
104,19,F,White,22000,765,0.337,148,0.0975494628796399,graduate,STEM,28000.0,0.22618181818181812,-0.9444117363738608,1
105,29,F,White,25000,504,0.407,165,0.0719466863863115,graduate,Arts,55000.0,-1.2449090909090912,-2.1082693275448294,0
106,21,M,Other,2500,672,0.174,135,0.0452137813055003,undergrad,Arts,22000.0,-0.353,-0.8955653756660036,1
107,23,M,White,3000,421,0.048,205,0.0159789019923045,undergrad,Arts,38000.0,-1.0107272727272727,-1.2024740966349268,1
108,19,M,White,13000,768,0.074,236,0.0880062949634072,graduate,STEM,32000.0,0.709090909090909,-0.3469846304699775,1
109,20,M,White,2000,363,0.134,14,0.0716640292402546,undergrad,Arts,36000.0,-1.3996363636363638,-2.259604714519419,0
110,27,M,Black,11000,441,0.15,108,0.112115326107651,undergrad,Business,19000.0,-0.894,-2.239383913291812,0
111,23,M,White,4500,696,0.164,25,0.0454556038190779,undergrad,Arts,43000.0,-0.33372727272727276,-0.8791945185562076,1
112,21,M,Other,7000,525,0.193,153,0.0538262622638986,undergrad,STEM,19000.0,-0.5985454545454545,-1.2444606017122377,0
113,31,F,White,23000,757,0.482,246,0.0089270124529904,graduate,Business,26000.0,-0.18690909090909077,-0.2940332403449756,1
114,20,M,White,4000,548,0.163,96,0.0598803195385864,undergrad,Arts,32000.0,-0.7729090909090909,-1.4914729253721277,0
115,28,F,Other,21000,850,0.25,96,0.0598803195385864,undergrad,Arts,78000.0,0.1532727272727273,-0.5652911071903094,1
116,24,F,White,19000,701,0.16,76,0.0206891202622854,undergrad,Business,39000.0,0.07945454545454546,-0.16881489769287933,1
117,21,F,White,3500,828,0.148,96,0.0598803195385864,undergrad,Arts,16000.0,0.2722727272727272,-0.4462911071903095,1
118,33,F,White,60000,594,0.334,217,0.0652733104074734,undergrad,Arts,31000.0,-0.6116363636363636,-1.3949160885260445,0
119,25,M,White,22000,561,0.106,25,0.0454556038190779,graduate,Law,62000.0,-0.05363636363636354,-0.5991036094652984,1
120,28,F,Asian,16000,738,0.298,206,0.0750822455019085,undergrad,Arts,72000.0,-0.38,-1.2809869460229022,0
121,26,F,White,18000,813,0.246,3,0.056430275339365,graduate,Business,45000.0,0.3587272727272728,-0.31843603134510723,1
122,22,F,White,32000,850,0.089,25,0.0454556038190779,graduate,Law,34000.0,1.1912727272727273,0.6458054814437925,1
123,26,M,Other,56000,833,0.112,135,0.0452137813055003,undergrad,Business,38000.0,0.8774545454545454,0.3348891697885418,1
124,28,F,Other,38000,642,0.337,96,0.0598803195385864,undergrad,STEM,9000.0,-0.2750909090909091,-0.9936547435539458,1
125,20,M,White,43000,723,0.184,211,0.0262039808823449,graduate,Law,30000.0,0.6054545454545455,0.2910067748664067,1
126,22,M,Black,15000,597,0.09,113,0.0525842554912459,graduate,Business,59000.0,-0.13272727272727272,-0.7637383386222235,1
127,27,F,White,30000,545,0.3,233,0.065642576798278,graduate,Arts,23000.0,-0.7518181818181817,-1.5395291033975176,0
128,25,F,White,10000,535,0.3,135,0.0452137813055003,undergrad,STEM,18000.0,-0.7581818181818181,-1.3007471938478217,0
129,19,M,Black,5000,771,0.097,62,0.0725423339255437,undergrad,Business,18000.0,0.376,-0.4945080071065243,1
130,19,F,Black,4500,546,0.061,135,0.0452137813055003,undergrad,Business,25000.0,-0.37318181818181817,-0.9157471938478218,1
131,19,F,Black,3500,694,0.307,25,0.0454556038190779,undergrad,STEM,11000.0,-0.23299999999999993,-0.7784672458289348,1
132,25,M,Black,24000,606,0.412,135,0.0452137813055003,undergrad,STEM,28000.0,-0.6399999999999999,-1.1825653756660035,1
133,19,M,White,7500,334,0.379,73,0.0228348227025087,undergrad,Business,24000.0,-1.7620909090909092,-2.0361087815210137,0
134,19,F,Asian,15000,781,0.196,135,0.0452137813055003,graduate,Law,106000.0,0.5243636363636364,-0.018201739302367237,1
135,24,F,White,12000,683,0.224,62,0.0725423339255437,undergrad,Arts,14000.0,-0.356,-1.2265080071065242,1
136,22,F,White,31000,595,0.108,211,0.0262039808823449,graduate,Business,36000.0,0.019999999999999962,-0.2944477705881388,1
137,25,M,White,13000,683,0.182,215,0.117501396154848,undergrad,Arts,69000.0,-0.366,-1.7760167538581761,0
138,21,M,White,5500,485,0.09,72,0.098006312495863,undergrad,Arts,15000.0,-0.847,-2.023075749950356,0
139,30,M,White,27000,363,0.17,76,0.0206891202622854,undergrad,Arts,17000.0,-1.321636363636364,-1.5699058067837888,0
140,22,M,White,1500,850,0.159,47,0.0941029777396706,undergrad,Arts,33000.0,0.31827272727272726,-0.8109630056033201,1
141,30,M,White,13000,840,0.318,76,0.0206891202622854,undergrad,Business,18000.0,0.23290909090909093,-0.015360352238333874,1
142,21,M,White,3500,655,0.255,86,0.1141983907020081,undergrad,STEM,56000.0,-0.37081818181818177,-1.741198870242279,0
143,24,M,White,24000,441,0.27,229,0.0845744546441171,undergrad,Arts,61000.0,-1.3560000000000003,-2.3708934557294055,0
144,30,F,White,18000,803,0.061,96,0.0598803195385864,undergrad,Business,10000.0,0.6423636363636364,-0.07620019809940037,1
145,27,M,White,19000,566,0.262,104,0.0834136145138897,graduate,STEM,122000.0,-0.4654545454545454,-1.4664179196212217,0
146,21,F,White,3500,574,0.108,12,0.0733281972091907,undergrad,Arts,23000.0,-0.5713636363636363,-1.4513020028739247,0
147,29,M,White,28000,451,0.108,135,0.0452137813055003,undergrad,Arts,8000.0,-0.8716363636363635,-1.4142017393023671,0
148,26,F,White,31000,850,0.226,76,0.0206891202622854,undergrad,STEM,63000.0,0.5612727272727274,0.31300328412530254,1
149,19,M,White,2000,548,0.158,76,0.0206891202622854,undergrad,Arts,11000.0,-0.7749090909090909,-1.0231785340565156,1
150,26,F,White,28000,834,0.407,96,0.0598803195385864,undergrad,Business,44000.0,0.023090909090909134,-0.6954729253721276,1
151,23,F,White,1500,735,0.289,62,0.0725423339255437,undergrad,Arts,72000.0,-0.4599090909090908,-1.3304170980156151,0
152,20,F,Other,19000,714,0.352,23,0.3748923690837981,graduate,Arts,18000.0,-0.30727272727272725,-4.805981156278304,0
153,25,M,White,41000,850,0.139,135,0.0452137813055003,graduate,STEM,78000.0,0.9452727272727273,0.40270735160672366,1
154,29,F,White,33000,817,0.124,195,0.0088945731217383,graduate,STEM,54000.0,0.8072727272727274,0.7005378498118677,1
155,22,F,White,2500,422,0.135,212,0.0192123729913557,undergrad,Business,41000.0,-1.0840909090909092,-1.3146393849871776,0
156,25,M,Asian,14000,841,0.132,135,0.0452137813055003,undergrad,Business,27000.0,0.6145454545454545,0.0719800788794509,1
157,20,M,Asian,5000,582,0.127,135,0.0452137813055003,undergrad,STEM,17000.0,-0.2712727272727273,-0.8138381029387309,1
158,23,M,White,2000,300,0.139,215,0.117501396154848,undergrad,Arts,49000.0,-1.738727272727273,-3.148744026585449,0
159,29,F,White,22000,850,0.236,211,0.0262039808823449,undergrad,STEM,34000.0,0.5872727272727274,0.2728249566845886,1
160,32,M,Other,30000,651,0.291,23,0.3748923690837981,undergrad,Arts,24000.0,-0.49836363636363634,-4.997072065369213,0
161,23,M,White,6000,558,0.242,76,0.0206891202622854,undergrad,Arts,48000.0,-0.9825454545454544,-1.2308148976928792,1
162,19,M,White,14000,533,0.314,37,0.0626858966647204,graduate,Arts,12000.0,-0.9194545454545454,-1.6716853054311902,0
163,19,M,White,37000,547,0.225,212,0.0192123729913557,graduate,Law,86000.0,-0.2525454545454546,-0.483093930441723,1
164,26,M,White,27000,681,0.145,48,0.0613916141670503,undergrad,Business,29000.0,0.08472727272727276,-0.6519720972773309,1
165,19,M,White,6500,689,0.343,76,0.0206891202622854,undergrad,Arts,86000.0,-0.7051818181818181,-0.953451261329243,1
166,23,F,White,3500,537,0.145,135,0.0452137813055003,undergrad,Business,14000.0,-0.5799090909090909,-1.1224744665750945,1
167,30,F,White,38000,538,0.048,37,0.0626858966647204,undergrad,Business,11000.0,-0.17527272727272733,-0.927503487249372,1
168,19,F,White,3000,359,0.32,211,0.0262039808823449,undergrad,STEM,11000.0,-1.4801818181818183,-1.794629588769957,0
169,24,M,Asian,53000,808,0.333,96,0.0598803195385864,undergrad,STEM,26000.0,0.42654545454545456,-0.29201837991758217,1
170,21,F,White,10000,842,0.388,135,0.0452137813055003,graduate,Arts,30000.0,0.0321818181818182,-0.5103835574841854,1
171,21,M,White,5500,837,0.218,135,0.0452137813055003,undergrad,Business,34000.0,0.377,-0.1655653756660036,1
172,26,F,Other,41000,574,0.396,135,0.0452137813055003,graduate,Arts,11000.0,-0.7723636363636364,-1.31492901202964,0
173,19,M,White,18000,788,0.216,89,0.0633437984524845,graduate,Arts,86000.0,0.12781818181818178,-0.6323073996116322,1
174,27,M,White,52000,654,0.312,110,0.1297935402004485,undergrad,STEM,32000.0,-0.09745454545454546,-1.6549770278599274,0
175,25,F,White,21000,371,0.08,135,0.0452137813055003,undergrad,STEM,50000.0,-0.9485454545454546,-1.4911108302114582,0
176,19,F,Other,14000,484,0.261,171,0.0801174711718513,graduate,Business,53000.0,-0.8916363636363637,-1.8530460176985795,0
177,21,F,White,1500,686,0.084,229,0.0845744546441171,undergrad,STEM,12000.0,0.17190909090909093,-0.8429843648203142,1
178,33,F,White,30000,793,0.318,76,0.0206891202622854,undergrad,STEM,18000.0,0.264,0.01573055685257521,1
179,19,M,White,45000,850,0.028,76,0.0206891202622854,graduate,Law,68000.0,1.2912727272727271,1.0430032841253023,1
180,22,M,White,1500,617,0.152,36,0.0336352568068902,undergrad,Arts,75000.0,-0.615,-1.0186230816826825,1
181,32,M,White,24000,750,0.116,25,0.0454556038190779,graduate,STEM,44000.0,0.5256363636363637,-0.01983088219257112,1
182,21,F,White,4000,850,0.151,135,0.0452137813055003,undergrad,Business,52000.0,0.44927272727272727,-0.09329264839327633,1
183,25,F,Asian,10000,822,0.109,248,0.0114381620879679,undergrad,Arts,31000.0,0.3674545454545455,0.23019660039893067,1
184,24,F,White,68000,442,0.318,135,0.0452137813055003,undergrad,Arts,25000.0,-1.0843636363636364,-1.62692901202964,0
185,26,M,White,20000,772,0.261,62,0.0725423339255437,undergrad,STEM,17000.0,0.24163636363636365,-0.6288716434701607,1
186,21,F,Asian,11000,569,0.167,135,0.0452137813055003,graduate,Law,36000.0,-0.11254545454545445,-0.6551108302114581,1
187,19,M,White,1500,615,0.314,135,0.0452137813055003,undergrad,Arts,33000.0,-0.8462727272727273,-1.388838102938731,0
188,19,F,White,4000,830,0.159,205,0.0159789019923045,undergrad,STEM,16000.0,0.5605454545454546,0.3687986306378006,1
189,26,F,White,43000,850,0.164,62,0.0725423339255437,undergrad,Arts,17000.0,0.5572727272727273,-0.31323527983379706,1
190,19,F,White,7000,417,0.176,76,0.0206891202622854,undergrad,Arts,26000.0,-1.2572727272727273,-1.5055421704201521,0
191,20,F,White,5000,850,0.145,112,0.1324079841540636,undergrad,Arts,19000.0,0.3672727272727273,-1.221623082576036,1
192,30,M,White,21000,850,0.095,38,0.0889068621286131,undergrad,STEM,9000.0,0.8632727272727274,-0.20360961827062973,1
193,28,F,White,15000,606,0.227,146,0.0710135910647982,undergrad,Business,22000.0,-0.42400000000000004,-1.2761630927775784,0
194,26,F,White,21000,659,0.041,73,0.0228348227025087,undergrad,STEM,26000.0,0.2767272727272727,0.002709400297168263,1
195,24,F,White,20000,850,0.067,143,0.3225492305952699,graduate,Arts,30000.0,0.7632727272727273,-3.1073180398705116,0
196,25,F,White,35000,850,0.226,25,0.0454556038190779,undergrad,Business,19000.0,0.5852727272727273,0.03980548144379248,1
197,35,M,Other,43000,850,0.141,96,0.0598803195385864,undergrad,STEM,35000.0,0.9032727272727272,0.1847088928096905,1
198,25,F,White,24000,640,0.149,25,0.0454556038190779,graduate,Business,60000.0,-0.04036363636363635,-0.5858308821925712,1
199,27,F,White,19000,467,0.163,59,0.3317741726742946,undergrad,STEM,35000.0,-0.6774545454545453,-4.6587446175460805,0
200,19,F,Black,18000,500,0.084,96,0.0598803195385864,graduate,STEM,43000.0,-0.3554545454545454,-1.0740183799175822,1
201,19,F,White,2500,399,0.247,124,0.3590904470954283,undergrad,Business,23000.0,-1.2917272727272728,-5.600812637872412,0
202,25,M,White,11000,526,0.295,73,0.0228348227025087,graduate,Arts,27000.0,-0.9249090909090909,-1.1989269633391952,1
203,32,M,Other,29000,621,0.094,25,0.0454556038190779,undergrad,Business,65000.0,-0.11945454545454545,-0.6649217912834803,1
204,28,M,Asian,25000,646,0.157,14,0.0716640292402546,undergrad,Business,25000.0,-0.07854545454545453,-0.9385138054285096,1
205,27,F,White,16000,711,0.314,191,0.02155648408881,undergrad,Business,62000.0,-0.3101818181818182,-0.5688596272475381,1
206,24,F,White,24000,718,0.145,205,0.0159789019923045,undergrad,Business,82000.0,0.10127272727272732,-0.09047409663492667,1
207,22,F,Black,7500,689,0.123,8,0.0354740787315121,undergrad,Arts,18000.0,-0.1591818181818182,-0.5848707629599634,1
208,29,F,White,15000,717,0.06,73,0.0228348227025087,graduate,Business,26000.0,0.4636363636363636,0.18961849120625918,1
209,28,F,White,35000,690,0.331,1,0.0633813776097611,undergrad,Arts,83000.0,-0.5065454545454546,-1.267121985862588,0
210,28,M,White,30000,670,0.137,25,0.0454556038190779,undergrad,STEM,20000.0,0.1787272727272727,-0.36673997310166206,1
211,26,F,Black,26000,499,0.059,61,0.0824980369278871,undergrad,Arts,29000.0,-0.611090909090909,-1.601067352225554,0
212,19,F,Black,8000,445,0.27,47,0.0941029777396706,undergrad,STEM,29000.0,-1.0374545454545456,-2.1666902783305932,0
213,25,M,Black,20000,442,0.205,229,0.0845744546441171,undergrad,Arts,55000.0,-1.2463636363636363,-2.2612570920930413,0
214,24,M,Asian,27000,737,0.237,70,0.0653330647666887,undergrad,Arts,50000.0,-0.19563636363636364,-0.9796331408366279,1
215,29,M,White,14000,690,0.396,143,0.3225492305952699,undergrad,Arts,42000.0,-0.7625454545454545,-4.6331362216886935,0
216,24,M,White,37000,714,0.335,229,0.0845744546441171,undergrad,STEM,35000.0,-0.015272727272727299,-1.0301661830021325,1
217,30,M,White,36000,737,0.44,135,0.0452137813055003,undergrad,Arts,25000.0,-0.4476363636363637,-0.9902017393023673,1
218,21,F,Asian,7000,848,0.424,73,0.0228348227025087,undergrad,Arts,29000.0,-0.186,-0.46001787243010445,1
219,19,M,White,3000,697,0.23,229,0.0845744546441171,undergrad,Arts,21000.0,-0.37109090909090914,-1.3859843648203143,0
220,27,F,Black,36000,850,0.397,25,0.0454556038190779,undergrad,Arts,22000.0,0.049272727272727246,-0.49619451855620755,1
