applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,model1_recommendation,model2_recommendation,loan_granted,good_loan
98,26,M,White,37000,823,0.46,135,0.0452,graduate,Arts,60000.0,0,0,1,0
99,21,F,White,7000,671,0.036,248,0.0114,undergrad,STEM,54000.0,1,1,1,1
100,25,M,White,39000,850,0.311,73,0.0228,undergrad,Business,46000.0,1,0,1,1
101,26,F,White,15000,850,0.307,96,0.0599,graduate,Business,84000.0,1,1,1,1
102,28,F,White,25000,850,0.245,62,0.0725,graduate,STEM,39000.0,1,1,1,1
103,30,F,White,56000,850,0.187,135,0.0452,undergrad,Arts,21000.0,1,1,1,1
104,19,F,White,22000,834,0.337,148,0.0975,graduate,STEM,28000.0,0,1,1,1
105,29,F,White,25000,573,0.407,165,0.0719,graduate,Law,91000.0,0,0,0,
106,21,M,Other,2500,757,0.174,135,0.0452,undergrad,Arts,22000.0,1,1,1,1
107,23,M,White,3000,490,0.048,205,0.016,undergrad,Arts,38000.0,1,1,1,1
108,19,M,White,13000,837,0.074,236,0.088,graduate,STEM,32000.0,1,1,1,1
109,20,M,White,2000,432,0.134,14,0.0717,undergrad,Arts,36000.0,0,0,0,
110,27,M,Black,11000,487,0.15,108,0.1121,undergrad,Business,19000.0,0,0,0,
111,23,M,White,4500,765,0.164,25,0.0455,undergrad,Arts,43000.0,1,1,1,1
112,21,M,Other,7000,610,0.193,153,0.0538,undergrad,STEM,19000.0,1,1,0,
113,31,F,White,23000,826,0.482,246,0.0089,graduate,Business,26000.0,0,0,1,0
114,20,M,White,4000,617,0.163,96,0.0599,undergrad,Arts,32000.0,0,0,1,1
115,28,F,Other,21000,850,0.25,96,0.0599,undergrad,Arts,78000.0,1,0,1,1
116,24,F,White,19000,770,0.16,76,0.0207,undergrad,Business,39000.0,1,1,1,1
117,21,F,White,3500,850,0.148,96,0.0599,undergrad,Arts,16000.0,1,1,1,1
118,33,F,White,60000,663,0.334,217,0.0653,undergrad,Arts,31000.0,0,0,0,
119,25,M,White,22000,630,0.106,25,0.0455,graduate,Law,62000.0,1,1,1,1
120,28,F,Asian,16000,784,0.298,206,0.0751,undergrad,Arts,72000.0,0,0,1,0
121,26,F,White,18000,850,0.246,3,0.0564,graduate,Business,45000.0,1,1,1,1
122,22,F,White,32000,850,0.089,25,0.0455,graduate,Law,34000.0,1,1,1,1
123,26,M,Other,56000,850,0.112,135,0.0452,undergrad,Business,38000.0,1,1,1,1
124,28,F,Other,38000,727,0.337,96,0.0599,undergrad,STEM,9000.0,0,0,0,
125,20,M,White,43000,792,0.184,211,0.0262,graduate,Law,30000.0,1,1,1,1
126,22,M,Black,15000,643,0.09,113,0.0526,graduate,Business,59000.0,1,1,1,1
127,27,F,White,30000,614,0.3,233,0.0656,graduate,Arts,23000.0,0,0,0,
128,25,F,White,10000,604,0.3,135,0.0452,undergrad,STEM,18000.0,0,0,0,
129,19,M,Black,5000,817,0.097,62,0.0725,undergrad,Business,18000.0,1,1,1,1
130,19,F,Black,4500,592,0.061,135,0.0452,undergrad,Business,25000.0,1,1,1,1
131,19,F,Black,3500,740,0.307,25,0.0455,undergrad,STEM,11000.0,1,0,0,
132,25,M,Black,24000,652,0.412,135,0.0452,undergrad,STEM,28000.0,0,0,0,
133,19,M,White,7500,403,0.379,73,0.0228,undergrad,Business,24000.0,0,0,0,
134,19,F,Asian,15000,827,0.196,135,0.0452,graduate,Law,106000.0,1,1,1,1
135,24,F,White,12000,752,0.224,62,0.0725,undergrad,Arts,14000.0,0,0,1,1
136,22,F,White,31000,664,0.108,211,0.0262,graduate,Business,36000.0,1,1,1,1
137,25,M,White,13000,752,0.182,215,0.1175,undergrad,Arts,69000.0,0,1,1,1
138,21,M,White,5500,554,0.09,72,0.098,undergrad,Arts,15000.0,0,1,1,1
139,30,M,White,27000,432,0.17,76,0.0207,undergrad,Arts,17000.0,1,0,0,
140,22,M,White,1500,850,0.159,47,0.0941,undergrad,Arts,33000.0,0,1,1,1
141,30,M,White,13000,850,0.318,76,0.0207,undergrad,Business,18000.0,1,0,1,1
142,21,M,White,3500,724,0.255,86,0.1142,undergrad,STEM,56000.0,0,0,1,1
143,24,M,White,24000,510,0.27,229,0.0846,undergrad,Arts,61000.0,0,0,0,
144,30,F,White,18000,850,0.061,96,0.0599,undergrad,Business,10000.0,1,1,1,1
145,27,M,White,19000,635,0.262,104,0.0834,graduate,STEM,122000.0,0,0,1,1
146,21,F,White,3500,643,0.108,12,0.0733,undergrad,Arts,23000.0,1,1,1,1
147,29,M,White,28000,520,0.108,135,0.0452,undergrad,Arts,8000.0,1,1,1,1
148,26,F,White,31000,850,0.226,76,0.0207,undergrad,STEM,63000.0,1,1,1,1
149,19,M,White,2000,617,0.158,76,0.0207,undergrad,Arts,11000.0,1,0,1,1
150,26,F,White,28000,850,0.407,96,0.0599,undergrad,Business,44000.0,0,0,0,
151,23,F,White,1500,804,0.289,62,0.0725,undergrad,Arts,72000.0,0,0,1,0
152,20,F,Other,19000,799,0.352,23,0.3749,graduate,Arts,18000.0,0,0,1,0
153,25,M,White,41000,850,0.139,135,0.0452,graduate,STEM,78000.0,1,1,1,1
154,29,F,White,33000,850,0.124,195,0.0089,graduate,STEM,54000.0,1,1,1,1
155,22,F,White,2500,491,0.135,212,0.0192,undergrad,Business,41000.0,1,0,1,1
156,25,M,Asian,14000,850,0.132,135,0.0452,undergrad,Business,27000.0,1,1,1,1
157,20,M,Asian,5000,628,0.127,135,0.0452,undergrad,STEM,17000.0,1,1,1,1
158,23,M,White,2000,318,0.139,215,0.1175,undergrad,Arts,49000.0,0,0,0,
159,29,F,White,22000,850,0.236,211,0.0262,undergrad,STEM,34000.0,1,1,1,1
160,32,M,Other,30000,736,0.291,23,0.3749,undergrad,Arts,24000.0,0,0,0,
161,23,M,White,6000,627,0.242,76,0.0207,undergrad,Arts,48000.0,1,0,1,1
162,19,M,White,14000,602,0.314,37,0.0627,graduate,Arts,12000.0,0,0,0,
163,19,M,White,37000,616,0.225,212,0.0192,graduate,Law,86000.0,1,1,1,1
164,26,M,White,27000,750,0.145,48,0.0614,undergrad,Business,29000.0,1,1,1,1
165,19,M,White,6500,758,0.343,76,0.0207,undergrad,Arts,86000.0,0,0,1,0
166,23,F,White,3500,606,0.145,135,0.0452,undergrad,Business,14000.0,1,1,1,1
167,30,F,White,38000,607,0.048,37,0.0627,undergrad,Business,11000.0,1,1,1,1
168,19,F,White,3000,428,0.32,211,0.0262,undergrad,STEM,11000.0,0,0,0,
169,24,M,Asian,53000,850,0.333,96,0.0599,undergrad,STEM,26000.0,1,1,1,1
170,21,F,White,10000,850,0.388,135,0.0452,graduate,Arts,30000.0,0,0,1,0
171,21,M,White,5500,850,0.218,135,0.0452,undergrad,Business,34000.0,1,1,1,1
172,26,F,Other,41000,659,0.396,135,0.0452,graduate,Arts,11000.0,0,0,0,
173,19,M,White,18000,850,0.216,89,0.0633,graduate,Arts,86000.0,1,1,1,1
174,27,M,White,52000,723,0.312,110,0.1298,undergrad,STEM,32000.0,0,1,0,
175,25,F,White,21000,440,0.08,135,0.0452,undergrad,STEM,50000.0,1,1,0,
176,19,F,Other,14000,569,0.261,171,0.0801,graduate,Business,53000.0,0,0,0,
177,21,F,White,1500,755,0.084,229,0.0846,undergrad,STEM,12000.0,1,1,1,1
178,33,F,White,30000,850,0.318,76,0.0207,undergrad,STEM,18000.0,1,1,1,1
179,19,M,White,45000,850,0.028,76,0.0207,graduate,Law,68000.0,1,1,1,1
180,22,M,White,1500,686,0.152,36,0.0336,undergrad,Arts,75000.0,1,0,1,1
181,32,M,White,24000,819,0.116,25,0.0455,graduate,STEM,44000.0,1,1,1,1
182,21,F,White,4000,850,0.151,135,0.0452,undergrad,Business,52000.0,1,1,1,1
183,25,F,Asian,10000,850,0.109,248,0.0114,undergrad,Arts,31000.0,1,1,1,1
184,24,F,White,68000,511,0.318,135,0.0452,undergrad,Arts,25000.0,0,0,0,
185,26,M,White,20000,841,0.261,62,0.0725,undergrad,STEM,17000.0,1,1,1,1
186,21,F,Asian,11000,615,0.167,135,0.0452,graduate,Law,36000.0,1,1,1,1
187,19,M,White,1500,684,0.314,135,0.0452,undergrad,Arts,33000.0,0,0,0,
188,19,F,White,4000,850,0.159,205,0.016,undergrad,STEM,16000.0,1,1,1,1
189,26,F,White,43000,850,0.164,62,0.0725,undergrad,Arts,17000.0,1,1,1,1
190,19,F,White,7000,486,0.176,76,0.0207,undergrad,Arts,26000.0,1,0,0,
191,20,F,White,5000,850,0.145,112,0.1324,undergrad,Arts,19000.0,0,1,1,1
192,30,M,White,21000,850,0.095,38,0.0889,undergrad,STEM,9000.0,1,1,1,1
193,28,F,White,15000,675,0.227,146,0.071,undergrad,Business,22000.0,0,1,1,1
194,26,F,White,21000,728,0.041,73,0.0228,undergrad,STEM,26000.0,1,1,1,1
195,24,F,White,20000,850,0.067,143,0.3225,graduate,Law,54000.0,0,1,1,1
196,25,F,White,35000,850,0.226,25,0.0455,undergrad,Business,19000.0,1,1,1,1
197,35,M,Other,43000,850,0.141,96,0.0599,undergrad,STEM,35000.0,1,1,1,1
198,25,F,White,24000,709,0.149,25,0.0455,graduate,Business,60000.0,1,1,1,1
199,27,F,White,19000,536,0.163,59,0.3318,undergrad,STEM,35000.0,0,1,0,
200,19,F,Black,18000,546,0.084,96,0.0599,graduate,STEM,43000.0,1,1,1,1
201,19,F,White,2500,468,0.247,124,0.3591,undergrad,Business,23000.0,0,0,0,
202,25,M,White,11000,595,0.295,73,0.0228,graduate,Arts,27000.0,0,0,1,0
203,32,M,Other,29000,706,0.094,25,0.0455,undergrad,Business,65000.0,1,1,1,1
204,28,M,Asian,25000,692,0.157,14,0.0717,undergrad,Business,25000.0,1,1,1,1
205,27,F,White,16000,780,0.314,191,0.0216,undergrad,Business,62000.0,1,0,1,0
206,24,F,White,24000,787,0.145,205,0.016,undergrad,Business,82000.0,1,1,1,1
207,22,F,Black,7500,735,0.123,8,0.0355,undergrad,Arts,18000.0,1,1,1,1
208,29,F,White,15000,786,0.06,73,0.0228,graduate,Business,26000.0,1,1,1,1
209,28,F,White,35000,759,0.331,1,0.0634,undergrad,Arts,83000.0,0,0,1,0
210,28,M,White,30000,739,0.137,25,0.0455,undergrad,STEM,20000.0,1,1,1,1
211,26,F,Black,26000,545,0.059,61,0.0825,undergrad,Arts,29000.0,1,1,1,1
212,19,F,Black,8000,491,0.27,47,0.0941,undergrad,STEM,29000.0,0,0,0,
213,25,M,Black,20000,488,0.205,229,0.0846,undergrad,Arts,55000.0,0,0,0,
214,24,M,Asian,27000,783,0.237,70,0.0653,undergrad,Arts,50000.0,0,0,1,1
215,29,M,White,14000,759,0.396,143,0.3225,undergrad,Arts,42000.0,0,0,0,
216,24,M,White,37000,783,0.335,229,0.0846,undergrad,STEM,35000.0,0,0,1,0
217,30,M,White,36000,806,0.44,135,0.0452,undergrad,Arts,25000.0,0,0,0,
218,21,F,Asian,7000,850,0.424,73,0.0228,undergrad,Arts,29000.0,0,0,1,0
219,19,M,White,3000,766,0.23,229,0.0846,undergrad,Arts,21000.0,0,0,1,1
220,27,F,Black,36000,850,0.397,25,0.0455,undergrad,Arts,22000.0,0,0,0,
221,28,M,White,25000,800,0.263,211,0.0262,undergrad,STEM,51000.0,1,1,1,1
222,25,F,Black,21000,553,0.242,121,0.026,undergrad,Business,19000.0,1,0,0,
223,29,F,Asian,20000,588,0.318,76,0.0207,graduate,Business,49000.0,1,0,1,0
224,20,F,Other,1500,804,0.201,40,0.0254,undergrad,Business,29000.0,1,1,1,1
225,31,M,Asian,21000,802,0.191,135,0.0452,graduate,STEM,49000.0,1,1,1,1
226,20,F,Other,4500,683,0.389,135,0.0452,undergrad,Arts,10000.0,0,0,0,
227,28,F,Other,34000,629,0.342,58,0.062,undergrad,STEM,13000.0,0,0,0,
228,20,M,White,21000,557,0.268,37,0.0627,graduate,STEM,63000.0,0,0,0,
229,24,M,White,39000,803,0.262,135,0.0452,graduate,Business,86000.0,1,1,1,1
230,24,M,Asian,47000,850,0.387,232,0.083,graduate,Business,50000.0,0,0,1,0
231,25,F,Asian,13000,601,0.325,96,0.0599,graduate,Arts,16000.0,0,0,0,
232,21,F,Asian,10000,819,0.128,135,0.0452,graduate,Law,44000.0,1,1,1,1
233,25,F,White,18000,589,0.248,62,0.0725,undergrad,STEM,8000.0,0,0,0,
234,24,M,White,21000,665,0.3,249,0.0569,graduate,Arts,67000.0,0,0,1,0
235,24,F,White,25000,850,0.298,176,0.0918,undergrad,Business,17000.0,0,1,1,1
236,20,F,Black,44000,810,0.057,96,0.0599,graduate,Law,62000.0,1,1,1,1
237,22,M,White,5000,779,0.207,25,0.0455,undergrad,Arts,30000.0,1,1,1,1
238,24,F,White,18000,414,0.277,96,0.0599,graduate,Arts,35000.0,0,0,0,
239,31,F,Other,33000,495,0.256,133,0.0638,graduate,Business,70000.0,0,0,0,
240,20,F,White,6500,520,0.208,25,0.0455,undergrad,Arts,44000.0,0,0,0,
241,26,M,White,27000,613,0.255,57,0.0299,graduate,Law,33000.0,1,1,1,1
242,26,F,White,16000,545,0.17,96,0.0599,undergrad,Arts,24000.0,0,0,0,
243,20,F,White,8000,696,0.2,195,0.0089,undergrad,Arts,22000.0,1,0,1,1
244,19,F,White,2000,818,0.194,221,0.154,undergrad,Business,27000.0,0,1,1,1
245,22,F,White,3000,832,0.071,135,0.0452,undergrad,STEM,24000.0,1,1,1,1
246,19,F,White,2500,699,0.164,59,0.3318,undergrad,Arts,23000.0,0,1,1,1
247,25,F,White,30000,850,0.056,125,0.076,undergrad,Arts,58000.0,1,1,1,1
248,20,M,White,19000,742,0.106,76,0.0207,graduate,Law,53000.0,1,1,1,1
249,23,F,White,5500,673,0.115,23,0.3749,undergrad,Arts,53000.0,0,1,1,1
250,27,M,White,14000,850,0.04,76,0.0207,undergrad,STEM,39000.0,1,1,1,1
251,23,M,Other,5500,801,0.256,49,0.0625,undergrad,STEM,18000.0,1,1,1,1
252,20,F,White,50000,850,0.368,96,0.0599,graduate,Law,30000.0,1,1,1,1
253,28,M,Black,19000,748,0.293,28,0.0368,undergrad,STEM,21000.0,1,0,0,
254,22,M,White,5500,850,0.171,135,0.0452,undergrad,STEM,68000.0,1,1,1,1
255,28,F,Black,22000,624,0.192,96,0.0599,undergrad,Business,46000.0,1,1,0,
256,20,F,Other,5500,634,0.148,229,0.0846,undergrad,STEM,12000.0,1,1,1,1
257,33,F,White,28000,850,0.224,52,0.1328,undergrad,Arts,15000.0,0,1,1,1
258,20,F,White,7000,651,0.059,1,0.0634,undergrad,STEM,118000.0,1,1,1,1
259,31,M,White,21000,590,0.089,244,0.0402,graduate,Arts,15000.0,1,1,1,1
260,24,M,Other,20000,697,0.168,135,0.0452,graduate,Arts,31000.0,1,1,1,1
261,21,F,White,8000,850,0.165,59,0.3318,undergrad,Arts,41000.0,0,1,1,1
262,26,M,White,34000,580,0.288,214,0.0167,undergrad,STEM,32000.0,1,0,0,
263,20,F,White,4000,697,0.292,15,0.0585,undergrad,Arts,23000.0,0,0,0,
264,26,M,White,16000,809,0.171,73,0.0228,undergrad,Business,51000.0,1,1,1,1
265,24,F,Asian,10000,695,0.144,135,0.0452,undergrad,Arts,32000.0,1,1,1,1
266,28,F,Other,21000,415,0.2,59,0.3318,graduate,Law,66000.0,0,1,0,
267,19,F,White,21000,759,0.161,61,0.0825,graduate,STEM,22000.0,1,1,1,1
268,31,F,White,15000,716,0.156,25,0.0455,graduate,STEM,200000.0,1,1,1,1
269,22,M,White,1500,850,0.214,76,0.0207,undergrad,Arts,14000.0,1,1,1,1
270,30,F,White,23000,824,0.03,73,0.0228,undergrad,Business,41000.0,1,1,1,1
271,19,F,White,7500,603,0.272,70,0.0653,undergrad,STEM,14000.0,0,0,0,
272,29,M,Other,41000,565,0.067,215,0.1175,undergrad,Arts,28000.0,0,1,1,1
273,31,M,Black,16000,681,0.168,62,0.0725,undergrad,Arts,29000.0,0,1,1,1
274,19,F,White,21000,850,0.392,122,0.0715,graduate,Business,68000.0,0,0,1,0
275,21,F,Other,2000,738,0.365,5,0.1198,undergrad,STEM,50000.0,0,0,0,
276,24,F,White,46000,543,0.076,96,0.0599,undergrad,Arts,200000.0,1,1,1,1
277,20,F,Other,25000,537,0.248,142,0.3267,graduate,Business,59000.0,0,0,0,
278,20,F,White,6500,850,0.178,76,0.0207,undergrad,Arts,22000.0,1,1,1,1
279,19,F,Black,4500,353,0.135,120,0.0542,undergrad,Arts,7000.0,0,0,0,
280,19,M,White,6500,850,0.157,135,0.0452,undergrad,STEM,16000.0,1,1,1,1
281,27,M,Other,40000,514,0.02,165,0.0719,undergrad,Business,35000.0,1,1,1,1
282,29,F,Asian,13000,695,0.099,66,0.0349,undergrad,Arts,53000.0,1,1,1,1
283,24,F,White,24000,850,0.078,135,0.0452,undergrad,STEM,7000.0,1,1,1,1
284,28,F,White,12000,785,0.24,135,0.0452,undergrad,Arts,5000.0,1,0,1,1
285,20,M,White,1500,807,0.251,25,0.0455,undergrad,Arts,26000.0,1,0,1,1
286,21,F,Asian,1500,850,0.278,73,0.0228,undergrad,Business,54000.0,1,0,1,1
287,22,M,Other,2500,850,0.111,143,0.3225,undergrad,STEM,25000.0,0,1,1,1
288,26,F,White,42000,548,0.336,154,0.0379,graduate,Business,100000.0,0,0,0,
289,23,F,White,8000,677,0.174,135,0.0452,undergrad,Arts,49000.0,1,0,1,1
290,24,F,White,21000,645,0.257,62,0.0725,undergrad,Arts,46000.0,0,0,0,
291,31,F,White,12000,559,0.242,22,0.0532,undergrad,Arts,102000.0,0,0,0,
292,22,M,White,52000,678,0.385,25,0.0455,graduate,Arts,10000.0,0,0,0,
293,28,M,White,35000,636,0.158,73,0.0228,undergrad,Business,53000.0,1,1,1,1
294,19,M,White,2000,752,0.02,25,0.0455,undergrad,Arts,41000.0,1,1,1,1
295,27,M,White,31000,573,0.309,62,0.0725,undergrad,STEM,41000.0,0,0,0,
296,27,F,Black,21000,500,0.146,14,0.0717,undergrad,STEM,49000.0,0,1,0,
297,30,F,Black,32000,716,0.092,62,0.0725,graduate,STEM,67000.0,1,1,1,1
298,26,F,White,30000,850,0.196,37,0.0627,graduate,STEM,22000.0,1,1,1,1
299,25,M,Other,16000,696,0.084,96,0.0599,undergrad,Business,36000.0,1,1,1,1
300,23,F,White,23000,803,0.347,23,0.3749,graduate,Business,69000.0,0,0,1,0
301,20,F,White,1500,511,0.03,135,0.0452,undergrad,Business,66000.0,1,1,1,1
302,23,M,White,6000,537,0.227,62,0.0725,undergrad,Arts,13000.0,0,0,0,
303,19,F,Other,7500,829,0.103,135,0.0452,undergrad,Business,22000.0,1,1,1,1
