applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,score_base,score_with_cdr,loan_granted,defaulted,model1_recommendation,model2_recommendation
54,19,M,Black,26000,467,0.303,23,0.3748923690837981,graduate,Business,66000.0,-0.9654545454545455,-5.464162974460122,0,0,0,0
55,23,F,Other,3000,808,0.305,135,0.0452137813055003,undergrad,Arts,57000.0,-0.2174545454545454,-0.760019921120549,1,0,1,1
56,22,F,Other,5000,407,0.132,195,0.0088945731217383,undergrad,STEM,29000.0,-0.9176363636363636,-1.0243712410972232,0,0,1,0
57,19,M,White,3500,601,0.154,89,0.0633437984524845,undergrad,STEM,27000.0,-0.26518181818181813,-1.0253073996116322,1,0,1,1
58,27,M,Black,40000,551,0.232,96,0.0598803195385864,undergrad,Arts,13000.0,-0.684,-1.4025638344630367,0,0,0,0
59,26,F,Other,10000,336,0.162,25,0.0454556038190779,undergrad,Arts,35000.0,-1.505818181818182,-2.051285427647117,0,0,0,0
60,32,F,White,24000,597,0.274,76,0.0206891202622854,undergrad,Business,32000.0,-0.4967272727272728,-0.7449967158746976,1,0,1,0
61,19,M,White,45000,666,0.087,73,0.0228348227025087,graduate,Business,149000.0,0.3041818181818182,0.030163945751713772,1,0,1,1
62,26,F,White,17000,363,0.427,76,0.0206891202622854,graduate,STEM,30000.0,-1.4456363636363636,-1.6939058067837884,0,0,0,0
63,22,M,White,2500,586,0.269,135,0.0452137813055003,undergrad,STEM,28000.0,-0.5557272727272726,-1.0982926483932762,1,0,1,0
64,19,M,White,7500,664,0.268,125,0.076007198487916,undergrad,Business,18000.0,-0.3400909090909091,-1.2521772909459012,1,0,0,1
65,19,M,White,4000,649,0.157,62,0.0725423339255437,undergrad,Arts,32000.0,-0.3936363636363637,-1.2641443707428879,1,0,0,1
66,24,F,White,69000,757,0.374,105,0.3071273154392573,undergrad,Arts,56000.0,-0.14490909090909088,-3.830436876180179,1,0,0,1
67,24,F,Other,12000,397,0.341,173,0.3498606334896493,graduate,STEM,56000.0,-1.2800000000000002,-5.478327601875792,0,0,0,0
68,25,F,White,35000,476,0.348,213,0.0771643582178653,undergrad,Arts,15000.0,-1.2187272727272727,-2.1446995713416563,0,0,0,0
69,27,M,Black,37000,507,0.267,244,0.0401675232474372,undergrad,Arts,25000.0,-0.932,-1.4140102789692466,0,0,0,0
70,35,F,Black,33000,546,0.182,248,0.0114381620879679,undergrad,STEM,69000.0,-0.44418181818181807,-0.5814397632374328,1,0,1,1
71,26,M,White,10000,632,0.076,76,0.0206891202622854,undergrad,Arts,29000.0,-0.2574545454545455,-0.5057239886019703,1,0,1,1
72,25,F,White,17000,510,0.193,62,0.0725423339255437,undergrad,STEM,52000.0,-0.693090909090909,-1.5635989161974333,0,0,0,0
73,29,M,White,15000,678,0.263,135,0.0452137813055003,undergrad,Arts,18000.0,-0.4341818181818182,-0.9767471938478218,1,0,1,1
74,30,F,White,30000,746,0.194,244,0.0401675232474372,undergrad,Business,36000.0,0.2410909090909091,-0.2409193698783373,1,0,1,1
75,19,M,White,14000,606,0.192,121,0.0259552783224867,graduate,STEM,27000.0,-0.11000000000000004,-0.4214633398698404,1,0,1,1
76,24,F,White,42000,438,0.557,59,0.3317741726742946,graduate,STEM,17000.0,-1.282909090909091,-5.264199163000626,0,0,0,0
77,26,F,Other,31000,329,0.333,76,0.0206891202622854,undergrad,STEM,66000.0,-1.5472727272727276,-1.7955421704201524,0,0,0,0
78,19,F,White,2000,661,0.147,211,0.0262039808823449,undergrad,Business,20000.0,-0.142,-0.4564477705881388,1,0,1,1
79,21,F,Asian,19000,632,0.248,76,0.0206891202622854,graduate,Arts,9000.0,-0.3974545454545454,-0.6457239886019702,1,0,1,1
80,24,M,White,33000,563,0.069,147,0.1173572203571072,graduate,STEM,87000.0,-0.006363636363636349,-1.4146502806489227,1,0,0,1
81,26,M,Black,17000,510,0.457,62,0.0725423339255437,undergrad,Arts,59000.0,-1.521090909090909,-2.3915989161974336,0,0,0,0
82,22,F,Other,3000,452,0.287,168,0.1321956977477361,undergrad,Arts,46000.0,-1.4760000000000002,-3.062348372972833,0,0,0,0
83,24,M,Black,33000,589,0.198,76,0.0206891202622854,undergrad,Business,19000.0,-0.3198181818181818,-0.5680876249656066,0,0,1,1
84,28,M,Other,12000,798,0.2,25,0.0454556038190779,graduate,Business,26000.0,0.46018181818181814,-0.08528542764711666,1,0,1,1
85,23,F,White,2500,814,0.12,151,0.0588929457918646,undergrad,Arts,159000.0,0.17136363636363636,-0.5353517131387387,1,0,1,1
86,25,F,White,32000,719,0.193,96,0.0598803195385864,undergrad,STEM,36000.0,0.2569090909090909,-0.4616547435539458,1,0,1,1
87,24,M,White,10000,823,0.228,104,0.0834136145138897,undergrad,Arts,16000.0,0.13309090909090912,-0.8678724650757672,1,0,1,1
88,26,M,White,37000,754,0.46,135,0.0452137813055003,graduate,Arts,60000.0,-0.36981818181818193,-0.9123835574841855,1,0,1,1
89,22,F,White,29000,387,0.278,135,0.0452137813055003,graduate,STEM,40000.0,-0.9883636363636368,-1.5309290120296404,0,0,0,0
90,21,M,Other,2000,300,0.291,72,0.098006312495863,undergrad,Business,145000.0,-1.8427272727272728,-3.018803022677629,0,0,0,0
91,24,F,Other,18000,364,0.138,135,0.0452137813055003,undergrad,Arts,50000.0,-1.4080000000000001,-1.9505653756660037,0,0,0,0
92,25,F,White,47000,633,0.193,195,0.0088945731217383,undergrad,STEM,33000.0,0.0341818181818182,-0.07255305927904139,1,0,1,1
93,25,F,White,19000,563,0.396,135,0.0452137813055003,graduate,Business,113000.0,-0.8443636363636364,-1.38692901202964,1,1,0,0
94,23,F,Asian,4500,845,0.036,215,0.117501396154848,undergrad,STEM,9000.0,0.8640909090909092,-0.5459258447672668,1,0,1,1
95,28,F,White,39000,587,0.296,135,0.0452137813055003,graduate,Law,46000.0,-0.03709090909090906,-0.5796562847569127,1,0,1,1
96,24,F,White,44000,447,0.325,96,0.0598803195385864,undergrad,STEM,30000.0,-0.9241818181818182,-1.642745652644855,0,0,0,0
97,27,F,White,26000,769,0.245,96,0.0598803195385864,undergrad,Arts,34000.0,-0.0012727272727272587,-0.719836561735764,1,0,1,1
98,26,M,Other,15000,410,0.296,232,0.0830288146298239,undergrad,STEM,58000.0,-1.2747272727272727,-2.2710730482851593,0,0,0,0
99,21,M,Other,1500,541,0.096,76,0.0206891202622854,undergrad,Business,36000.0,-0.47936363636363644,-0.7276330795110613,0,0,1,0
100,28,F,Asian,30000,589,0.185,76,0.0206891202622854,undergrad,Business,23000.0,-0.31181818181818177,-0.5600876249656066,1,0,1,1
101,27,F,White,13000,498,0.082,244,0.0401675232474372,graduate,STEM,6000.0,-0.2887272727272728,-0.7707375516965191,0,0,1,1
102,19,M,Other,27000,555,0.382,215,0.117501396154848,graduate,Law,42000.0,-0.5974545454545455,-2.0074712993127215,1,1,0,0
103,19,F,White,3500,714,0.177,135,0.0452137813055003,undergrad,Arts,15000.0,-0.20027272727272727,-0.7428381029387309,1,0,1,1
104,23,F,White,3500,459,0.263,135,0.0452137813055003,undergrad,Arts,21000.0,-1.2995454545454548,-1.8421108302114584,0,0,0,0
105,23,F,White,4500,850,0.374,38,0.0889068621286131,undergrad,STEM,24000.0,0.2062727272727273,-0.8606096182706299,1,0,1,1
106,22,M,White,11000,844,0.111,62,0.0725423339255437,graduate,STEM,57000.0,0.7994545454545454,-0.0710534616519789,1,0,1,1
107,21,M,White,17000,677,0.302,34,0.0406085217379756,graduate,STEM,49000.0,-0.1538181818181818,-0.641120442673889,1,0,1,1
108,21,M,White,31000,386,0.342,135,0.0452137813055003,graduate,Arts,57000.0,-1.5080000000000005,-2.050565375666004,0,0,0,0
109,30,M,White,28000,592,0.099,25,0.0454556038190779,graduate,Business,40000.0,0.009090909090909122,-0.5363763367380256,1,0,1,1
110,19,F,White,6000,850,0.121,143,0.3225492305952699,undergrad,Arts,21000.0,0.42127272727272735,-3.449318039870511,1,0,0,1
111,19,M,Black,15000,850,0.241,73,0.0228348227025087,graduate,Arts,65000.0,0.28527272727272734,0.011254854842622897,1,0,1,1
112,29,F,Other,16000,507,0.105,62,0.0725423339255437,graduate,STEM,16000.0,-0.284,-1.1545080071065243,1,1,1,1
113,37,M,White,34000,567,0.222,96,0.0598803195385864,undergrad,Arts,81000.0,-0.7418181818181817,-1.4603820162812184,0,0,0,0
114,27,F,White,30000,545,0.3,233,0.065642576798278,graduate,Arts,23000.0,-0.7518181818181817,-1.5395291033975176,1,0,0,0
115,33,F,White,14000,784,0.241,135,0.0452137813055003,undergrad,Business,48000.0,0.08927272727272727,-0.4532926483932763,1,0,1,1
116,31,M,White,23000,632,0.251,141,0.0011525810664222,undergrad,Arts,56000.0,-0.6294545454545454,-0.6432855182516117,0,0,1,0
117,25,M,Black,31000,711,0.137,96,0.0598803195385864,graduate,STEM,13000.0,0.4838181818181818,-0.23474565264485492,1,0,1,1
118,30,M,Black,12000,742,0.189,244,0.0401675232474372,undergrad,Business,28000.0,0.12854545454545455,-0.3534648244237919,0,0,1,1
119,23,M,Asian,27000,850,0.111,25,0.0454556038190779,graduate,Arts,15000.0,0.7172727272727274,0.1718054814437926,1,0,1,1
120,22,M,White,5000,434,0.237,105,0.3071273154392573,undergrad,Arts,31000.0,-1.3294545454545454,-5.014982330725633,0,0,0,0
121,24,F,White,12000,683,0.224,62,0.0725423339255437,undergrad,Arts,14000.0,-0.356,-1.2265080071065242,1,0,0,1
122,22,F,White,8000,691,0.358,104,0.0834136145138897,undergrad,Business,47000.0,-0.5189090909090909,-1.5198724650757671,1,0,0,0
123,19,F,Black,16000,361,0.182,62,0.0725423339255437,graduate,Business,45000.0,-1.1689090909090911,-2.0394170980156154,0,0,0,0
124,23,M,White,5500,648,0.24,73,0.0228348227025087,undergrad,Arts,69000.0,-0.6542727272727272,-0.9282905997028317,0,0,1,0
125,28,F,Black,52000,740,0.14,229,0.0845744546441171,undergrad,Arts,43000.0,0.1592727272727272,-0.8556207284566779,0,0,1,1
126,20,M,White,2000,611,0.209,205,0.0159789019923045,undergrad,Business,37000.0,-0.4478181818181818,-0.6395650057258357,1,1,1,1
127,19,M,White,18000,446,0.251,215,0.117501396154848,graduate,Arts,59000.0,-1.1858181818181819,-2.5958349356763577,0,0,0,0
128,29,M,Black,18000,452,0.349,25,0.0454556038190779,graduate,Law,45000.0,-0.76,-1.3054672458289347,0,0,0,0
129,25,F,White,56000,594,0.245,135,0.0452137813055003,undergrad,Business,35000.0,-0.25763636363636355,-0.8002017393023672,0,0,1,1
130,25,M,White,63000,764,0.165,96,0.0598803195385864,undergrad,Arts,38000.0,0.3625454545454545,-0.35601837991758223,1,0,1,1
131,24,F,Other,35000,388,0.178,147,0.1173572203571072,undergrad,Arts,34000.0,-1.1987272727272729,-2.6070139170125595,0,0,0,0
132,19,M,Black,6000,533,0.261,37,0.0626858966647204,undergrad,Business,29000.0,-0.8114545454545455,-1.56368530543119,0,0,0,0
133,19,M,Other,4000,578,0.267,135,0.0452137813055003,undergrad,Arts,13000.0,-0.8718181818181818,-1.4143835574841854,0,0,0,0
134,29,M,White,41000,561,0.187,45,0.0688326303912253,undergrad,STEM,12000.0,-0.2516363636363636,-1.0776279283310672,1,0,1,1
135,31,F,Black,35000,673,0.218,96,0.0598803195385864,graduate,Arts,69000.0,-0.1923636363636364,-0.9109274708266731,0,0,1,1
136,22,F,White,1500,599,0.284,135,0.0452137813055003,undergrad,Arts,27000.0,-0.8444545454545453,-1.387019921120549,0,0,0,0
137,23,F,Black,10000,798,0.148,229,0.0845744546441171,graduate,Arts,22000.0,0.35218181818181826,-0.6627116375475869,1,0,1,1
138,26,M,White,34000,850,0.233,149,0.0597392985093231,undergrad,Arts,32000.0,0.3652727272727273,-0.3515988548391499,1,0,1,1
139,34,F,Black,45000,550,0.123,62,0.0725423339255437,graduate,Law,48000.0,0.21036363636363636,-0.660144370742888,1,0,1,1
140,19,F,White,16000,762,0.087,123,0.0184661476241641,graduate,STEM,20000.0,0.6792727272727273,0.457678955782758,1,0,1,1
141,23,M,Black,4500,850,0.103,135,0.0452137813055003,undergrad,Arts,32000.0,0.4482727272727274,-0.09429264839327622,1,0,1,1
142,19,M,Black,1000,482,0.134,135,0.0452137813055003,undergrad,Arts,53000.0,-1.072909090909091,-1.6154744665750946,0,0,0,0
143,23,M,Black,3500,611,0.198,181,0.0694555405916422,undergrad,Business,38000.0,-0.41681818181818187,-1.2502846689178884,0,0,0,1
144,27,F,White,26000,599,0.223,135,0.0452137813055003,undergrad,Arts,37000.0,-0.5754545454545454,-1.118019921120549,0,0,1,0
145,19,F,Black,4500,679,0.394,128,0.0627335567719358,undergrad,Arts,74000.0,-0.8555454545454545,-1.6083481358086842,0,0,0,0
146,19,F,White,30000,604,0.145,206,0.0750822455019085,graduate,STEM,46000.0,-0.027272727272727282,-0.9282596732956294,1,0,1,1
147,27,M,Black,22000,647,0.258,177,0.128168250145393,undergrad,STEM,50000.0,-0.29490909090909084,-1.8329280926538065,0,0,0,1
148,19,M,White,2000,689,0.343,76,0.0206891202622854,undergrad,Arts,86000.0,-0.7321818181818182,-0.980451261329243,1,0,1,0
149,26,F,Asian,15000,587,0.514,85,0.0294226470636067,undergrad,Business,21000.0,-1.0670909090909089,-1.4201626738541893,1,1,0,0
150,19,F,White,20000,711,0.256,163,0.3260876172560482,graduate,Law,21000.0,0.27981818181818174,-3.633233225254396,1,0,0,1
151,36,M,White,38000,756,0.042,62,0.0725423339255437,undergrad,Business,46000.0,0.5294545454545454,-0.3410534616519789,1,0,1,1
152,22,M,Black,12000,635,0.102,38,0.0889068621286131,graduate,Business,43000.0,-0.03654545454545452,-1.1034278000888116,0,0,1,1
153,19,F,White,4000,337,0.101,202,0.0323575696194292,undergrad,Arts,20000.0,-1.4161818181818182,-1.8044726536149684,0,0,0,0
154,26,F,Other,41000,574,0.396,135,0.0452137813055003,graduate,Arts,11000.0,-0.7723636363636364,-1.31492901202964,0,0,0,0
155,31,F,White,27000,820,0.212,96,0.0598803195385864,graduate,Law,46000.0,0.9061818181818182,0.18761798371878147,1,0,1,1
156,28,F,White,26000,575,0.094,44,0.0905072834983424,undergrad,Arts,28000.0,-0.4047272727272727,-1.4908146747073814,0,0,0,1
157,27,F,Other,21000,682,0.084,135,0.0452137813055003,graduate,Arts,10000.0,0.12436363636363634,-0.41820173930236726,1,0,1,1
158,25,F,White,16000,816,0.183,233,0.065642576798278,undergrad,Arts,34000.0,0.23363636363636361,-0.5540745579429722,1,0,1,1
159,19,F,White,14000,565,0.095,37,0.0626858966647204,graduate,Business,42000.0,-0.26509090909090904,-1.0173216690675537,0,0,1,1
160,19,M,Black,5000,441,0.334,37,0.0626858966647204,undergrad,STEM,6000.0,-1.198,-1.9502307599766446,0,0,0,0
161,26,F,White,39000,550,0.099,196,0.1025750047919756,undergrad,Business,32000.0,-0.22763636363636372,-1.4585364211400709,0,0,0,1
162,33,M,Other,32000,825,0.048,229,0.0845744546441171,graduate,Arts,31000.0,0.7823636363636364,-0.23252981936576878,1,0,1,1
163,21,F,White,4000,850,0.151,135,0.0452137813055003,undergrad,Business,52000.0,0.44927272727272727,-0.09329264839327633,1,0,1,1
164,28,F,White,17000,640,0.249,110,0.1297935402004485,undergrad,Arts,101000.0,-0.6323636363636363,-2.189886118769018,0,0,0,0
165,29,F,Other,30000,551,0.102,161,0.0860070529714547,graduate,STEM,30000.0,-0.03399999999999995,-1.0660846356574563,1,0,1,1
166,20,M,Other,1500,670,0.196,30,0.0320534171387883,undergrad,Business,30000.0,-0.21027272727272725,-0.5949137329381868,1,0,1,1
167,21,F,White,4000,603,0.134,234,0.0446008761033688,undergrad,Business,18000.0,-0.3149090909090909,-0.8501196041495165,1,0,1,1
168,28,F,White,35000,839,0.342,135,0.0452137813055003,graduate,STEM,28000.0,0.5632727272727271,0.020707351606723545,1,0,1,1
169,19,F,White,3500,615,0.352,39,0.1763707921194738,undergrad,Business,33000.0,-0.7102727272727272,-2.8267222327064125,0,0,0,0
170,19,M,White,6000,850,0.136,62,0.0725423339255437,undergrad,Arts,22000.0,0.3912727272727273,-0.479235279833797,1,0,1,1
171,22,F,White,15000,768,0.527,30,0.0320534171387883,graduate,STEM,137000.0,-0.28490909090909095,-0.6695500965745506,1,0,1,1
172,22,M,White,6500,526,0.286,135,0.0452137813055003,undergrad,Arts,24000.0,-1.0839090909090907,-1.6264744665750943,0,0,0,0
173,22,F,White,4000,668,0.211,205,0.0159789019923045,undergrad,Business,16000.0,-0.23254545454545447,-0.42429227845310846,1,0,1,1
174,19,F,White,3500,782,0.205,135,0.0452137813055003,undergrad,Arts,27000.0,-0.008999999999999994,-0.5515653756660036,1,0,1,1
175,29,M,White,27000,775,0.226,135,0.0452137813055003,undergrad,Arts,34000.0,0.06454545454545452,-0.4780199211205491,1,0,1,1
176,19,M,Asian,5000,678,0.185,135,0.0452137813055003,undergrad,Business,89000.0,-0.2381818181818182,-0.7807471938478218,1,0,1,1
177,19,M,Asian,4500,829,0.362,135,0.0452137813055003,undergrad,Business,102000.0,-0.0460909090909091,-0.5886562847569127,1,0,1,1
178,25,F,White,23000,394,0.159,135,0.0452137813055003,undergrad,Arts,31000.0,-1.210909090909091,-1.7534744665750945,0,0,0,0
179,21,F,Asian,1500,526,0.073,57,0.029903287943721,undergrad,Business,11000.0,-0.48790909090909096,-0.846748546233743,1,1,1,0
180,34,F,White,29000,487,0.103,76,0.0206891202622854,undergrad,Business,13000.0,-0.5247272727272727,-0.7729967158746975,0,0,1,0
181,25,M,White,11000,526,0.295,73,0.0228348227025087,graduate,Arts,27000.0,-0.9249090909090909,-1.1989269633391952,0,0,1,0
182,21,F,White,6000,552,0.169,248,0.0114381620879679,undergrad,Arts,35000.0,-0.7583636363636364,-0.8956215814192512,0,0,1,0
183,24,M,White,12000,685,0.344,19,0.0682581446813445,undergrad,Business,33000.0,-0.3887272727272727,-1.2078250089034066,1,0,1,1
184,23,M,White,8000,402,0.269,135,0.0452137813055003,undergrad,Arts,28000.0,-1.491818181818182,-2.0343835574841855,0,0,0,0
185,19,F,Black,4500,553,0.126,76,0.0206891202622854,undergrad,STEM,26000.0,-0.37772727272727274,-0.6259967158746975,0,0,1,1
186,29,M,Black,34000,643,0.104,135,0.0452137813055003,undergrad,Arts,15000.0,-0.12945454545454543,-0.6720199211205491,0,0,1,1
187,19,F,Asian,8000,821,0.067,96,0.0598803195385864,undergrad,STEM,38000.0,0.7358181818181819,0.017254347355145194,1,0,1,1
188,20,F,White,22000,505,0.125,229,0.0845744546441171,graduate,STEM,23000.0,-0.2952727272727272,-1.3101661830021323,1,0,0,1
189,30,M,Other,36000,484,0.33,135,0.0452137813055003,undergrad,STEM,12000.0,-0.8476363636363637,-1.3902017393023673,0,0,0,0
190,19,F,Black,26000,628,0.448,135,0.0452137813055003,graduate,STEM,77000.0,-0.5699999999999998,-1.1125653756660034,1,0,1,0
191,19,M,White,37000,696,0.11,25,0.0454556038190779,graduate,STEM,25000.0,0.5192727272727273,-0.02619451855620747,1,0,1,1
192,24,M,Asian,27000,737,0.237,70,0.0653330647666887,undergrad,Arts,50000.0,-0.19563636363636364,-0.9796331408366279,1,0,1,1
193,25,M,Asian,15000,669,0.185,135,0.0452137813055003,undergrad,Business,12000.0,-0.1109090909090909,-0.6534744665750944,1,0,1,1
194,30,F,White,21000,662,0.261,124,0.3590904470954283,undergrad,Business,66000.0,-0.35236363636363643,-4.661449001508776,1,0,0,1
195,28,M,White,35000,703,0.125,62,0.0725423339255437,undergrad,Arts,54000.0,-0.0472727272727273,-0.9177807343792517,1,0,1,1
196,23,M,White,5000,703,0.344,135,0.0452137813055003,undergrad,STEM,30000.0,-0.26527272727272716,-0.8078381029387307,1,0,1,1
197,20,M,White,4500,466,0.159,96,0.0598803195385864,undergrad,STEM,22000.0,-0.7600909090909089,-1.4786547435539457,0,0,0,0
198,24,F,Other,10000,734,0.203,135,0.0452137813055003,undergrad,Arts,14000.0,-0.14054545454545456,-0.6831108302114581,1,0,1,1
199,25,F,Black,21000,507,0.242,121,0.0259552783224867,undergrad,Business,19000.0,-0.778,-1.0894633398698403,0,0,1,0
