applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,loan_granted,defaulted,approved,low_risk_terms
17,StateU,0.065,Other,19,M,Non-US,5500,552,0.064,undergrad,Business,22000.0,-0.4013636363636364,-0.5183636363636365,0,0,1,0
18,StateU,0.065,Other,20,F,US Person,10000,561,0.075,graduate,STEM,55000.0,-0.21363636363636362,-0.3306363636363636,0,0,1,1
19,ForProfit1,0.25,Black,19,M,Non-US,5500,486,0.094,undergrad,Arts,36000.0,-1.1013636363636363,-1.5513636363636363,0,0,0,0
20,ForProfit2,0.3,Black,28,M,Non-US,18000,724,0.184,graduate,Business,35000.0,0.00909090909090915,-0.5309090909090909,0,0,1,0
21,StateU,0.065,White,22,M,Non-US,13000,850,0.327,graduate,STEM,22000.0,0.5012727272727273,0.3842727272727273,0,0,1,1
22,CommunityCollege,0.12,Other,19,M,Non-US,3500,515,0.16,undergrad,Business,93000.0,-0.8399090909090909,-1.055909090909091,0,0,0,0
23,StateU,0.065,White,19,F,Non-US,8000,720,0.153,undergrad,Arts,69000.0,-0.2034545454545455,-0.3204545454545455,0,0,1,1
24,CommunityCollege,0.12,White,20,M,Non-US,6500,723,0.124,undergrad,Business,17000.0,0.15645454545454546,-0.05954545454545454,0,0,1,1
25,StateU,0.065,Black,19,M,Non-US,3500,770,0.305,undergrad,Arts,42000.0,-0.6026363636363636,-0.7196363636363636,0,0,0,0
26,ForProfit2,0.3,Black,21,M,US Person,3000,547,0.127,undergrad,Business,13000.0,-0.7605454545454545,-1.3005454545454547,0,0,0,0
27,CommunityCollege,0.12,Black,22,M,US Person,24000,727,0.164,graduate,STEM,119000.0,0.09600000000000003,-0.11999999999999997,0,0,1,1
28,CommunityCollege,0.12,Other,24,F,US Person,29000,714,0.088,undergrad,Business,20000.0,0.28072727272727277,0.06472727272727277,1,1,1,1
29,CommunityCollege,0.12,Black,21,M,Non-US,5500,732,0.137,undergrad,STEM,58000.0,-0.09281818181818186,-0.3088181818181819,0,0,1,1
30,ForProfit1,0.25,White,19,F,Non-US,14000,850,0.23,graduate,Arts,83000.0,0.30127272727272736,-0.14872727272727265,1,1,1,1
31,CommunityCollege,0.12,Black,19,M,Non-US,10000,708,0.204,graduate,Law,76000.0,-0.03709090909090909,-0.2530909090909091,0,0,1,1
32,CommunityCollege,0.12,White,27,M,US Person,20000,778,0.166,graduate,Arts,18000.0,0.3034545454545454,0.08745454545454542,0,0,1,1
33,CommunityCollege,0.12,White,26,M,Non-US,24000,698,0.21,graduate,Arts,32000.0,-0.05145454545454542,-0.2674545454545454,0,0,1,1
34,StateU,0.065,White,26,M,Non-US,10000,441,0.195,undergrad,Arts,28000.0,-1.19,-1.307,0,0,0,0
35,CommunityCollege,0.12,Asian,20,M,Non-US,11000,414,0.1,graduate,Business,26000.0,-0.592181818181818,-0.808181818181818,0,0,0,0
36,UVA,0.035,Black,22,F,Non-US,5000,700,0.357,undergrad,STEM,37000.0,-0.5521818181818181,-0.6151818181818182,0,0,1,0
37,StateU,0.065,White,19,F,US Person,6500,672,0.152,undergrad,Arts,67000.0,-0.385,-0.502,0,0,1,0
38,ForProfit2,0.3,White,21,M,US Person,10000,483,0.4,graduate,Law,59000.0,-0.9972727272727273,-1.5372727272727273,0,0,0,0
39,UVA,0.035,White,24,F,Non-US,22000,617,0.245,undergrad,Business,23000.0,-0.378,-0.441,0,0,1,1
40,CommunityCollege,0.12,White,19,M,Non-US,2000,419,0.204,undergrad,STEM,89000.0,-1.1360000000000001,-1.352,0,0,0,0
41,UVA,0.035,Other,27,F,Non-US,29000,587,0.196,undergrad,Arts,28000.0,-0.5970909090909091,-0.6600909090909092,0,0,1,0
42,CommunityCollege,0.12,White,26,F,Non-US,23000,665,0.181,graduate,STEM,14000.0,0.1805454545454546,-0.035454545454545405,0,0,1,1
43,ForProfit1,0.25,White,20,M,Non-US,13000,658,0.172,graduate,Business,31000.0,0.013090909090909153,-0.43690909090909086,0,0,1,1
44,CommunityCollege,0.12,White,27,F,Non-US,24000,790,0.234,undergrad,Business,8000.0,0.28509090909090906,0.06909090909090906,1,1,1,1
45,CommunityCollege,0.12,White,27,M,US Person,26000,700,0.146,graduate,Law,85000.0,0.5958181818181818,0.37981818181818183,1,0,1,1
46,CommunityCollege,0.12,Other,26,F,Non-US,34000,471,0.189,undergrad,Arts,18000.0,-0.9749090909090911,-1.1909090909090911,0,0,0,0
47,StateU,0.065,White,21,M,Non-US,4500,688,0.159,undergrad,Business,65000.0,-0.15281818181818183,-0.26981818181818185,0,0,1,1
48,ForProfit1,0.25,Black,25,M,Non-US,10000,612,0.147,graduate,STEM,20000.0,-0.2721818181818182,-0.7221818181818183,0,0,0,0
49,StateU,0.065,Other,20,F,Non-US,4500,816,0.142,undergrad,Arts,48000.0,0.09663636363636367,-0.020363636363636334,0,0,1,1
50,ForProfit2,0.3,Other,23,M,Non-US,1500,477,0.178,undergrad,Arts,20000.0,-1.1260909090909093,-1.6660909090909093,0,0,0,0
51,CommunityCollege,0.12,Black,22,F,Non-US,43000,764,0.093,graduate,STEM,18000.0,0.5865454545454545,0.3705454545454545,1,1,1,1
52,CommunityCollege,0.12,White,20,F,Non-US,1500,654,0.149,undergrad,Business,25000.0,-0.17445454545454545,-0.39045454545454544,0,0,1,1
53,StateU,0.065,White,21,M,US Person,7000,723,0.044,undergrad,STEM,34000.0,0.41945454545454547,0.3024545454545455,1,1,1,1
54,StateU,0.065,White,26,M,Non-US,25000,518,0.333,undergrad,STEM,41000.0,-0.8959999999999999,-1.013,0,0,0,0
55,StateU,0.065,White,19,M,Non-US,15000,501,0.254,graduate,Business,123000.0,-0.809818181818182,-0.926818181818182,0,0,0,0
56,CommunityCollege,0.12,Black,21,M,Non-US,7500,631,0.336,undergrad,STEM,28000.0,-0.7460909090909091,-0.9620909090909091,0,0,0,0
57,ForProfit2,0.3,White,19,F,US Person,21000,443,0.31,graduate,Arts,23000.0,-1.1967272727272729,-1.736727272727273,0,0,0,0
58,CommunityCollege,0.12,White,21,F,Non-US,13000,326,0.143,graduate,STEM,25000.0,-1.0361818181818183,-1.2521818181818183,0,0,0,0
59,StateU,0.065,White,24,F,Non-US,16000,643,0.174,undergrad,Arts,43000.0,-0.47745454545454535,-0.5944545454545453,0,0,1,0
60,StateU,0.065,White,19,F,Non-US,4000,546,0.349,undergrad,STEM,15000.0,-0.8521818181818182,-0.9691818181818181,0,0,0,0
61,UVA,0.035,White,22,M,Non-US,10000,740,0.425,graduate,STEM,23000.0,-0.11272727272727273,-0.17572727272727273,0,0,1,1
62,ForProfit2,0.3,White,38,F,Non-US,33000,442,0.335,undergrad,Arts,50000.0,-1.4283636363636365,-1.9683636363636365,0,0,0,0
63,StateU,0.065,Black,19,M,Non-US,20000,709,0.281,graduate,STEM,12000.0,-0.12745454545454551,-0.24445454545454554,0,0,1,1
64,CommunityCollege,0.12,Other,19,F,Non-US,6000,610,0.243,undergrad,Business,70000.0,-0.6454545454545455,-0.8614545454545455,0,0,0,0
65,UVA,0.035,White,23,M,Non-US,26000,688,0.189,graduate,STEM,42000.0,0.16618181818181818,0.10318181818181817,1,1,1,1
66,CommunityCollege,0.12,Other,25,F,US Person,22000,464,0.148,undergrad,STEM,38000.0,-0.6903636363636363,-0.9063636363636363,0,0,0,0
67,CommunityCollege,0.12,White,29,M,Non-US,27000,625,0.165,undergrad,Arts,26000.0,-0.35890909090909084,-0.5749090909090908,0,0,1,0
68,CommunityCollege,0.12,White,19,M,Non-US,4000,669,0.285,undergrad,Arts,20000.0,-0.5769090909090908,-0.7929090909090908,0,0,0,0
69,CommunityCollege,0.12,White,19,M,Non-US,11000,594,0.068,graduate,Law,43000.0,0.07636363636363636,-0.13963636363636364,0,0,1,1
70,StateU,0.065,White,24,F,Non-US,24000,615,0.063,undergrad,STEM,42000.0,-0.009272727272727238,-0.12627272727272726,0,0,1,1
71,CommunityCollege,0.12,White,25,M,US Person,10000,844,0.198,graduate,STEM,26000.0,0.7194545454545453,0.5034545454545454,1,0,1,1
72,CommunityCollege,0.12,White,28,M,Non-US,39000,520,0.103,undergrad,Arts,27000.0,-0.5447272727272727,-0.7607272727272727,0,0,0,0
73,ForProfit1,0.25,Asian,19,F,Non-US,1500,643,0.048,undergrad,Arts,11000.0,-0.06245454545454546,-0.5124545454545455,0,0,1,0
74,StateU,0.065,White,19,M,Non-US,6000,702,0.129,undergrad,Business,12000.0,0.06709090909090909,-0.04990909090909092,0,0,1,1
75,StateU,0.065,Black,19,M,Non-US,3500,551,0.073,undergrad,Business,13000.0,-0.635,-0.752,0,0,0,0
76,ForProfit2,0.3,White,20,F,US Person,12000,796,0.159,graduate,Business,58000.0,0.4349090909090909,-0.10509090909090912,1,0,1,1
77,StateU,0.065,White,19,F,Non-US,4500,675,0.357,undergrad,Arts,44000.0,-0.796090909090909,-0.913090909090909,0,0,0,0
78,StateU,0.065,White,25,F,Non-US,22000,850,0.253,graduate,Law,50000.0,0.7032727272727273,0.5862727272727273,1,0,1,1
79,ForProfit1,0.25,White,29,M,Non-US,33000,464,0.281,undergrad,Arts,43000.0,-1.2403636363636368,-1.6903636363636367,0,0,0,0
80,ForProfit2,0.3,White,29,M,Non-US,34000,562,0.177,graduate,Business,48000.0,-0.31999999999999995,-0.86,0,0,0,0
81,CommunityCollege,0.12,Black,27,M,Non-US,41000,755,0.332,undergrad,Arts,25000.0,-0.3861818181818182,-0.6021818181818182,0,0,1,0
82,CommunityCollege,0.12,White,20,M,US Person,6500,661,0.327,undergrad,STEM,36000.0,-0.37499999999999994,-0.591,0,0,1,0
83,CommunityCollege,0.12,White,33,F,US Person,19000,626,0.272,undergrad,Arts,28000.0,-0.6172727272727273,-0.8332727272727273,0,0,0,0
84,StateU,0.065,White,34,M,US Person,26000,713,0.097,undergrad,STEM,20000.0,0.3910909090909091,0.2740909090909091,0,0,1,1
85,ForProfit1,0.25,White,19,M,US Person,5000,509,0.374,undergrad,Arts,93000.0,-1.4307272727272728,-1.8807272727272728,0,0,0,0
86,ForProfit1,0.25,White,19,F,Non-US,24000,612,0.168,graduate,Business,56000.0,-0.1801818181818182,-0.6301818181818182,0,0,1,0
87,CommunityCollege,0.12,Other,19,F,Non-US,24000,503,0.054,graduate,STEM,39000.0,-0.19854545454545447,-0.41454545454545444,0,0,1,1
88,StateU,0.065,Other,25,M,Non-US,22000,463,0.19,undergrad,Business,13000.0,-0.8780000000000001,-0.9950000000000001,0,0,0,0
89,UVA,0.035,Black,21,M,Non-US,6000,588,0.266,undergrad,Arts,33000.0,-1.0714545454545454,-1.1344545454545454,0,0,0,0
90,CommunityCollege,0.12,Black,22,M,Non-US,2500,584,0.146,undergrad,Business,200000.0,-0.767,-0.983,0,0,0,0
91,CommunityCollege,0.12,White,24,F,US Person,12000,615,0.119,undergrad,STEM,52000.0,-0.1932727272727272,-0.40927272727272723,0,0,1,1
92,StateU,0.065,White,19,F,Non-US,4500,588,0.211,undergrad,Business,34000.0,-0.5204545454545455,-0.6374545454545455,0,0,1,0
93,ForProfit1,0.25,White,29,F,Non-US,58000,616,0.169,undergrad,STEM,22000.0,0.08636363636363636,-0.36363636363636365,0,0,1,1
94,StateU,0.065,White,20,F,Non-US,7000,525,0.212,undergrad,Arts,42000.0,-1.0365454545454544,-1.1535454545454544,0,0,0,0
95,StateU,0.065,White,22,M,Non-US,5000,514,0.219,undergrad,Business,23000.0,-0.8025454545454546,-0.9195454545454546,0,0,0,0
96,StateU,0.065,White,19,M,Non-US,7500,850,0.17,undergrad,Arts,32000.0,0.3322727272727273,0.21527272727272728,0,0,1,1
97,StateU,0.065,White,19,M,Non-US,4500,564,0.191,undergrad,STEM,19000.0,-0.4677272727272727,-0.5847272727272728,0,0,1,0
98,StateU,0.065,White,22,M,Non-US,7500,792,0.226,undergrad,Business,36000.0,0.20936363636363636,0.09236363636363636,0,0,1,1
99,StateU,0.065,White,19,F,Non-US,3500,702,0.316,undergrad,Arts,43000.0,-0.6219090909090909,-0.7389090909090908,0,0,0,0
100,StateU,0.065,White,20,M,Non-US,24000,754,0.156,graduate,Law,77000.0,0.5601818181818181,0.4431818181818181,1,1,1,1
101,StateU,0.065,White,28,F,Non-US,25000,592,0.049,undergrad,Arts,81000.0,-0.35890909090909096,-0.47590909090909095,0,0,1,0
102,CommunityCollege,0.12,Black,19,F,US Person,3500,709,0.236,undergrad,Arts,30000.0,-0.5864545454545455,-0.8024545454545454,0,0,0,0
103,ForProfit1,0.25,White,23,M,Non-US,6500,774,0.075,undergrad,Arts,17000.0,0.23990909090909088,-0.21009090909090913,1,1,1,1
104,UVA,0.035,White,20,M,Non-US,19000,850,0.364,graduate,STEM,53000.0,0.3632727272727273,0.3002727272727273,1,1,1,1
105,StateU,0.065,White,25,F,Non-US,30000,626,0.148,graduate,Business,59000.0,-0.05327272727272728,-0.1702727272727273,0,0,1,1
106,CommunityCollege,0.12,Other,19,F,Non-US,6500,850,0.263,undergrad,Business,22000.0,0.2902727272727273,0.0742727272727273,1,0,1,1
107,CommunityCollege,0.12,White,27,F,Non-US,42000,450,0.105,undergrad,Arts,75000.0,-0.8852727272727272,-1.1012727272727272,0,0,0,0
108,StateU,0.065,White,24,F,Non-US,22000,738,0.067,undergrad,Arts,37000.0,0.218,0.10099999999999999,1,1,1,1
109,CommunityCollege,0.12,Black,26,F,US Person,22000,484,0.103,graduate,Business,72000.0,-0.7776363636363636,-0.9936363636363635,0,0,0,0
110,StateU,0.065,White,21,F,Non-US,25000,607,0.265,graduate,Arts,61000.0,-0.5863636363636363,-0.7033636363636363,0,0,0,0
111,UVA,0.035,White,25,M,Non-US,24000,699,0.217,undergrad,Arts,13000.0,-0.21181818181818182,-0.27481818181818185,0,0,1,1
112,ForProfit2,0.3,White,19,F,Non-US,3500,850,0.268,undergrad,Business,20000.0,0.31227272727272726,-0.22772727272727278,0,0,1,1
113,ForProfit2,0.3,Black,27,F,Non-US,14000,607,0.13,undergrad,Arts,33000.0,-0.6823636363636364,-1.2223636363636365,0,0,0,0
114,StateU,0.065,White,27,M,Non-US,20000,362,0.057,graduate,STEM,26000.0,-0.6912727272727273,-0.8082727272727273,0,0,0,0
115,CommunityCollege,0.12,White,21,F,Non-US,18000,731,0.147,graduate,Business,29000.0,0.3585454545454546,0.14254545454545461,0,0,1,1
116,ForProfit2,0.3,White,22,F,US Person,18000,456,0.156,graduate,Arts,78000.0,-0.9594545454545453,-1.4994545454545454,0,0,0,0
117,CommunityCollege,0.12,Asian,26,M,Non-US,22000,527,0.239,undergrad,STEM,61000.0,-0.5432727272727272,-0.7592727272727272,0,0,0,0
118,UVA,0.035,White,23,M,Non-US,6500,766,0.303,undergrad,Arts,42000.0,-0.34518181818181815,-0.40818181818181815,0,0,1,1
119,UVA,0.035,Asian,27,F,Non-US,24000,650,0.296,graduate,STEM,23000.0,0.052000000000000074,-0.01099999999999994,0,0,1,1
120,StateU,0.065,Other,24,M,US Person,21000,403,0.075,undergrad,STEM,92000.0,-0.8721818181818182,-0.9891818181818182,0,0,0,0
121,UVA,0.035,White,26,F,Non-US,26000,431,0.143,undergrad,Business,57000.0,-0.9263636363636364,-0.9893636363636364,0,0,0,0
122,CommunityCollege,0.12,Asian,27,M,Non-US,29000,542,0.338,graduate,Arts,54000.0,-0.7947272727272726,-1.0107272727272727,0,0,0,0
123,StateU,0.065,White,21,F,US Person,5500,781,0.392,undergrad,Arts,38000.0,-0.37463636363636366,-0.49163636363636365,0,0,1,0
124,StateU,0.065,White,21,M,US Person,1000,686,0.293,undergrad,STEM,58000.0,-0.34909090909090906,-0.46609090909090906,0,0,1,0
125,StateU,0.065,White,19,F,Non-US,5500,850,0.082,undergrad,STEM,33000.0,0.7962727272727272,0.6792727272727273,1,0,1,1
126,StateU,0.065,White,29,F,Non-US,24000,800,0.209,undergrad,STEM,48000.0,0.3714545454545455,0.2544545454545455,1,1,1,1
127,CommunityCollege,0.12,White,20,M,Non-US,27000,614,0.235,graduate,Arts,15000.0,-0.38890909090909076,-0.6049090909090907,0,0,1,0
128,ForProfit1,0.25,White,21,F,Non-US,39000,646,0.12,graduate,Law,103000.0,0.32945454545454544,-0.12054545454545457,0,0,1,1
129,UVA,0.035,Black,23,F,Non-US,35000,810,0.061,graduate,Arts,15000.0,0.4698181818181818,0.4068181818181818,0,0,1,1
130,CommunityCollege,0.12,Black,33,F,Non-US,11000,503,0.12,undergrad,Arts,20000.0,-1.0585454545454547,-1.2745454545454546,0,0,0,0
131,StateU,0.065,Black,23,M,US Person,49000,850,0.057,graduate,STEM,64000.0,0.9072727272727272,0.7902727272727272,1,0,1,1
132,CommunityCollege,0.12,Other,25,F,Non-US,21000,850,0.049,undergrad,STEM,61000.0,0.8052727272727274,0.5892727272727274,1,0,1,1
133,CommunityCollege,0.12,White,31,M,Non-US,30000,511,0.147,undergrad,Business,78000.0,-0.6194545454545455,-0.8354545454545454,0,0,0,0
134,CommunityCollege,0.12,Other,19,F,Non-US,8000,656,0.096,undergrad,Arts,43000.0,-0.3721818181818182,-0.5881818181818183,0,0,1,0
135,StateU,0.065,White,19,F,US Person,6500,605,0.368,undergrad,Arts,17000.0,-0.9606363636363635,-1.0776363636363635,0,0,0,0
136,StateU,0.065,White,25,F,US Person,33000,739,0.321,undergrad,Business,25000.0,-0.02036363636363639,-0.1373636363636364,0,0,1,1
137,ForProfit1,0.25,Black,34,F,Non-US,42000,762,0.19,undergrad,Arts,30000.0,-0.07072727272727272,-0.5207272727272727,0,0,1,0
138,ForProfit2,0.3,Black,28,M,Non-US,12000,777,0.456,undergrad,Arts,25000.0,-0.7281818181818183,-1.2681818181818183,0,0,0,0
139,CommunityCollege,0.12,White,28,F,US Person,13000,847,0.311,graduate,Arts,20000.0,0.2223636363636363,0.006363636363636294,0,0,1,1
140,CommunityCollege,0.12,White,34,F,US Person,22000,850,0.177,undergrad,Arts,42000.0,0.30527272727272736,0.08927272727272736,1,1,1,1
141,CommunityCollege,0.12,White,25,F,Non-US,20000,667,0.406,undergrad,Arts,93000.0,-0.8301818181818182,-1.0461818181818183,0,0,0,0
142,ForProfit1,0.25,Black,22,M,Non-US,8000,300,0.241,undergrad,Business,32000.0,-1.8567272727272726,-2.3067272727272727,0,0,0,0
143,CommunityCollege,0.12,White,27,M,Non-US,62000,441,0.187,graduate,STEM,40000.0,-0.41199999999999987,-0.6279999999999999,0,0,1,0
144,CommunityCollege,0.12,White,19,F,US Person,26000,454,0.171,graduate,Arts,25000.0,-0.8487272727272727,-1.0647272727272727,0,0,0,0
145,StateU,0.065,White,25,M,Non-US,20000,722,0.194,undergrad,Business,53000.0,-0.006181818181818163,-0.12318181818181817,0,0,1,1
146,StateU,0.065,White,23,F,Non-US,16000,605,0.06,graduate,STEM,32000.0,0.16236363636363638,0.04536363636363637,0,0,1,1
147,ForProfit1,0.25,White,21,M,Non-US,7000,617,0.349,undergrad,Arts,67000.0,-0.9759999999999999,-1.426,0,0,0,0
148,CommunityCollege,0.12,Black,26,M,Non-US,32000,501,0.24,undergrad,Arts,33000.0,-1.1798181818181819,-1.3958181818181818,0,0,0,0
149,CommunityCollege,0.12,White,19,F,US Person,2500,522,0.051,undergrad,Arts,39000.0,-0.6524545454545454,-0.8684545454545454,0,0,0,0
150,StateU,0.065,Other,32,M,Non-US,25000,408,0.185,undergrad,Business,28000.0,-1.05,-1.167,0,0,0,0
151,CommunityCollege,0.12,White,19,F,US Person,1000,588,0.17,undergrad,Business,19000.0,-0.45945454545454545,-0.6754545454545454,0,0,1,0
152,UVA,0.035,White,27,M,Non-US,19000,500,0.184,undergrad,Arts,26000.0,-0.8994545454545454,-0.9624545454545455,0,0,0,0
153,ForProfit2,0.3,White,27,F,Non-US,25000,410,0.1,graduate,Law,32000.0,-0.27272727272727276,-0.8127272727272727,0,0,0,0
154,CommunityCollege,0.12,Black,19,M,Non-US,4500,716,0.124,undergrad,Arts,31000.0,-0.331,-0.547,0,0,1,0
155,ForProfit1,0.25,Black,24,M,Non-US,24000,741,0.369,undergrad,Business,19000.0,-0.41309090909090906,-0.8630909090909091,0,0,0,0
156,CommunityCollege,0.12,Black,22,F,Non-US,5500,624,0.573,undergrad,STEM,15000.0,-1.2575454545454545,-1.4735454545454545,0,0,0,0
157,StateU,0.065,Black,28,F,US Person,13000,485,0.198,undergrad,STEM,22000.0,-0.968,-1.085,0,0,0,0
158,StateU,0.065,White,20,F,Non-US,5000,647,0.268,undergrad,Business,51000.0,-0.5169090909090909,-0.6339090909090909,0,0,1,0
159,CommunityCollege,0.12,White,23,M,US Person,5000,306,0.154,undergrad,STEM,49000.0,-1.4289090909090911,-1.644909090909091,0,0,0,0
160,CommunityCollege,0.12,White,19,M,Non-US,3000,741,0.477,undergrad,Arts,41000.0,-0.805090909090909,-1.021090909090909,0,0,0,0
161,CommunityCollege,0.12,White,19,M,Non-US,7000,531,0.222,undergrad,Arts,15000.0,-0.9347272727272727,-1.1507272727272728,0,0,0,0
162,CommunityCollege,0.12,White,19,F,Non-US,30000,732,0.128,graduate,Arts,14000.0,0.2721818181818182,0.056181818181818194,0,0,1,1
163,ForProfit1,0.25,Other,20,M,Non-US,2500,784,0.354,undergrad,Arts,36000.0,-0.3557272727272727,-0.8057272727272727,0,0,0,0
164,ForProfit2,0.3,Asian,21,F,US Person,4000,333,0.291,undergrad,STEM,94000.0,-1.4607272727272729,-2.000727272727273,0,0,0,0
165,StateU,0.065,Black,21,F,Non-US,2500,490,0.232,undergrad,Arts,30000.0,-1.380818181818182,-1.497818181818182,0,0,0,0
166,CommunityCollege,0.12,White,19,F,Non-US,17000,841,0.254,graduate,Arts,82000.0,0.2385454545454546,0.02254545454545459,1,1,1,1
167,CommunityCollege,0.12,White,19,M,US Person,4500,327,0.204,undergrad,Arts,42000.0,-1.7555454545454547,-1.9715454545454547,0,0,0,0
168,CommunityCollege,0.12,Black,21,M,Non-US,4000,403,0.415,undergrad,STEM,22000.0,-1.754181818181818,-1.970181818181818,0,0,0,0
169,StateU,0.065,Other,26,F,Non-US,27000,698,0.192,undergrad,Arts,17000.0,-0.19745454545454544,-0.31445454545454543,0,0,1,1
170,CommunityCollege,0.12,Other,19,M,Non-US,4000,357,0.205,undergrad,Arts,29000.0,-1.6014545454545455,-1.8174545454545454,0,0,0,0
171,StateU,0.065,White,21,F,Non-US,15000,631,0.038,graduate,Arts,19000.0,-0.005090909090909118,-0.12209090909090912,0,0,1,1
172,ForProfit1,0.25,White,23,F,Non-US,25000,701,0.201,graduate,Arts,14000.0,-0.016545454545454585,-0.4665454545454546,0,0,1,0
173,UVA,0.035,White,19,F,Non-US,21000,850,0.03,graduate,Business,73000.0,0.9432727272727273,0.8802727272727272,1,0,1,1
174,CommunityCollege,0.12,White,28,F,Non-US,28000,489,0.062,undergrad,Arts,42000.0,-0.7414545454545454,-0.9574545454545453,0,0,0,0
175,CommunityCollege,0.12,Black,19,F,US Person,6000,653,0.338,undergrad,Arts,18000.0,-0.9790909090909091,-1.1950909090909092,0,0,0,0
176,StateU,0.065,White,22,F,Non-US,4500,665,0.036,undergrad,Business,18000.0,0.10954545454545456,-0.00745454545454545,1,1,1,1
177,CommunityCollege,0.12,White,19,F,Non-US,2000,577,0.152,undergrad,STEM,53000.0,-0.4574545454545454,-0.6734545454545454,0,0,1,0
178,CommunityCollege,0.12,White,26,F,US Person,32000,850,0.191,undergrad,STEM,24000.0,0.7372727272727273,0.5212727272727273,1,0,1,1
179,StateU,0.065,White,20,F,US Person,6000,850,0.278,undergrad,Arts,61000.0,0.007272727272727236,-0.10972727272727277,1,1,1,1
180,ForProfit1,0.25,White,22,F,US Person,6000,447,0.15,undergrad,Arts,31000.0,-1.1021818181818182,-1.552181818181818,0,0,0,0
181,CommunityCollege,0.12,White,31,M,Non-US,52000,612,0.388,graduate,Law,173000.0,-0.05218181818181811,-0.2681818181818181,0,0,1,1
182,UVA,0.035,Black,23,F,Non-US,30000,438,0.125,graduate,Business,48000.0,-0.940909090909091,-1.003909090909091,0,0,0,0
183,CommunityCollege,0.12,White,24,M,Non-US,38000,850,0.291,undergrad,Arts,23000.0,0.27327272727272733,0.057272727272727336,1,1,1,1
184,ForProfit1,0.25,White,22,M,Non-US,3000,553,0.3,undergrad,Business,45000.0,-0.9347272727272727,-1.3847272727272728,0,0,0,0
185,ForProfit2,0.3,Asian,19,F,Non-US,4500,761,0.117,undergrad,STEM,40000.0,0.5466363636363636,0.006636363636363551,1,0,1,1
186,UVA,0.035,White,26,F,Non-US,13000,658,0.257,undergrad,Business,25000.0,-0.3069090909090909,-0.3699090909090909,0,0,1,1
187,StateU,0.065,Other,22,M,Non-US,6000,778,0.087,undergrad,Arts,30000.0,0.17745454545454542,0.060454545454545414,0,0,1,1
188,ForProfit1,0.25,White,19,M,Non-US,5000,724,0.318,undergrad,Arts,33000.0,-0.4369090909090909,-0.8869090909090909,0,0,0,0
189,StateU,0.065,White,19,M,Non-US,6000,658,0.235,undergrad,Arts,14000.0,-0.5049090909090909,-0.6219090909090909,0,0,1,0
